yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2015,2015,Import,Afghanistan,30,Pharmaceutical products,Central Asia,Asia,13766668,33.7680065,66.2385139,39.89317229901691,61.060280637304274
2015,2015,Import,Afghanistan,30,Pharmaceutical products,Eastern Asia,Asia,5809411,33.7680065,66.2385139,37.977378106878206,73.97804075806764
2015,2015,Import,Afghanistan,30,Pharmaceutical products,Eastern Europe,Europe,179670,33.7680065,66.2385139,51.67568633314729,27.673469819741847
2015,2015,Import,Afghanistan,30,Pharmaceutical products,Northern Africa,Africa,153968,33.7680065,66.2385139,19.569604022535763,12.47761721199581
2015,2015,Import,Afghanistan,30,Pharmaceutical products,Northern America,Americas,6304127,33.7680065,66.2385139,43.897683433510366,-100.08947125585888
2015,2015,Import,Afghanistan,30,Pharmaceutical products,Northern Europe,Europe,906344,33.7680065,66.2385139,59.36075159783851,25.01346951967388
2015,2015,Import,Afghanistan,30,Pharmaceutical products,South-eastern Asia,Asia,633707,33.7680065,66.2385139,10.528384761701911,103.08333472012376
2015,2015,Import,Afghanistan,30,Pharmaceutical products,Southern Asia,Asia,3943472,33.7680065,66.2385139,25.499703063807168,75.5024015339642
2015,2015,Import,Afghanistan,30,Pharmaceutical products,Southern Europe,Europe,148568,33.7680065,66.2385139,40.12399607988535,20.742583178432696
2015,2015,Import,Afghanistan,30,Pharmaceutical products,Western Asia,Asia,1726796,33.7680065,66.2385139,26.42921218083572,52.86847103284948
2015,2015,Import,Afghanistan,30,Pharmaceutical products,Western Europe,Europe,1266318,33.7680065,66.2385139,47.92172048214207,7.866753258497997
2015,2015,Import,Afghanistan,30,Pharmaceutical products,World,World,60103177,33.7680065,66.2385139,,
