yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Sub-region,Region,TradeValue
1996,1996,Import,Algeria,83,Miscellaneous articles of base metal,Central Asia,Asia,49095
1996,1996,Import,Algeria,83,Miscellaneous articles of base metal,Eastern Asia,Asia,4528203
1996,1996,Import,Algeria,83,Miscellaneous articles of base metal,Eastern Europe,Europe,23963
1996,1996,Import,Algeria,83,Miscellaneous articles of base metal,Latin America and the Caribbean,Americas,94451
1996,1996,Import,Algeria,83,Miscellaneous articles of base metal,Northern Africa,Africa,1520362
1996,1996,Import,Algeria,83,Miscellaneous articles of base metal,Northern America,Americas,2131059
1996,1996,Import,Algeria,83,Miscellaneous articles of base metal,Northern Europe,Europe,2160349
1996,1996,Import,Algeria,83,Miscellaneous articles of base metal,South-eastern Asia,Asia,62040
1996,1996,Import,Algeria,83,Miscellaneous articles of base metal,Southern Europe,Europe,6164965
1996,1996,Import,Algeria,83,Miscellaneous articles of base metal,Western Asia,Asia,361470
1996,1996,Import,Algeria,83,Miscellaneous articles of base metal,Western Europe,Europe,9463956
1996,1996,Import,Algeria,83,Miscellaneous articles of base metal,World,World,27553044
