yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue
2000,2000,Import,Algeria,42,"Articles of leather, animal gut, harness, travel goods",Australia and New Zealand,Oceania,650
2000,2000,Import,Algeria,42,"Articles of leather, animal gut, harness, travel goods",Central Asia,Asia,11295
2000,2000,Import,Algeria,42,"Articles of leather, animal gut, harness, travel goods",Eastern Asia,Asia,3972242
2000,2000,Import,Algeria,42,"Articles of leather, animal gut, harness, travel goods",Eastern Europe,Europe,21089
2000,2000,Import,Algeria,42,"Articles of leather, animal gut, harness, travel goods",Northern Africa,Africa,2270
2000,2000,Import,Algeria,42,"Articles of leather, animal gut, harness, travel goods",Northern America,Americas,268903
2000,2000,Import,Algeria,42,"Articles of leather, animal gut, harness, travel goods",Northern Europe,Europe,103135
2000,2000,Import,Algeria,42,"Articles of leather, animal gut, harness, travel goods",South-eastern Asia,Asia,18939
2000,2000,Import,Algeria,42,"Articles of leather, animal gut, harness, travel goods",Southern Asia,Asia,3783
2000,2000,Import,Algeria,42,"Articles of leather, animal gut, harness, travel goods",Southern Europe,Europe,712717
2000,2000,Import,Algeria,42,"Articles of leather, animal gut, harness, travel goods",Western Asia,Asia,72311
2000,2000,Import,Algeria,42,"Articles of leather, animal gut, harness, travel goods",Western Europe,Europe,1963354
2000,2000,Import,Algeria,42,"Articles of leather, animal gut, harness, travel goods",World,World,7329850
