yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2016,2016,Export,Algeria,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",Australia and New Zealand,Oceania,29282,28.0000272,2.9999825,-16.85099460447687,133.4130365630627
2016,2016,Export,Algeria,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",Eastern Asia,Asia,30214,28.0000272,2.9999825,37.977378106878206,73.97804075806764
2016,2016,Export,Algeria,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",Eastern Europe,Europe,17490537,28.0000272,2.9999825,51.67568633314729,27.673469819741847
2016,2016,Export,Algeria,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",Latin America and the Caribbean,Americas,28520945,28.0000272,2.9999825,17.925141963241547,-78.01492950057497
2016,2016,Export,Algeria,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",Northern America,Americas,1344,28.0000272,2.9999825,43.897683433510366,-100.08947125585888
2016,2016,Export,Algeria,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",Northern Europe,Europe,3029,28.0000272,2.9999825,59.36075159783851,25.01346951967388
2016,2016,Export,Algeria,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",South-eastern Asia,Asia,102,28.0000272,2.9999825,10.528384761701911,103.08333472012376
2016,2016,Export,Algeria,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",Southern Europe,Europe,12719471,28.0000272,2.9999825,40.12399607988535,20.742583178432696
2016,2016,Export,Algeria,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",Sub-Saharan Africa,Africa,71968,28.0000272,2.9999825,6.06272746187266,22.727528470146083
2016,2016,Export,Algeria,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",Tunisia,Tunisia,486735,28.0000272,2.9999825,,
2016,2016,Export,Algeria,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",Western Asia,Asia,997394,28.0000272,2.9999825,26.42921218083572,52.86847103284948
2016,2016,Export,Algeria,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",Western Europe,Europe,9363275,28.0000272,2.9999825,47.92172048214207,7.866753258497997
2016,2016,Export,Algeria,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",World,World,72489791,28.0000272,2.9999825,,
2016,2016,Export,Algeria,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement", Jordan, Jordan,334,28.0000272,2.9999825,,
2016,2016,Export,Algeria,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement", Mauritania, Mauritania,5168,28.0000272,2.9999825,,
2016,2016,Export,Algeria,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement", Morocco, Morocco,180,28.0000272,2.9999825,,
2016,2016,Export,Algeria,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement", United Arab Emirates, United Arab Emirates,23,28.0000272,2.9999825,,
