yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2010,2010,Export,Armenia,48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard",Australia and New Zealand,Oceania,133,40.7696272,44.6736646,-16.85099460447687,133.4130365630627
2010,2010,Export,Armenia,48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard",Eastern Asia,Asia,15410,40.7696272,44.6736646,37.977378106878206,73.97804075806764
2010,2010,Export,Armenia,48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard",Eastern Europe,Europe,44415,40.7696272,44.6736646,51.67568633314729,27.673469819741847
2010,2010,Export,Armenia,48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard",Northern America,Americas,862,40.7696272,44.6736646,43.897683433510366,-100.08947125585888
2010,2010,Export,Armenia,48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard",Northern Europe,Europe,3693,40.7696272,44.6736646,59.36075159783851,25.01346951967388
2010,2010,Export,Armenia,48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard",South-eastern Asia,Asia,745,40.7696272,44.6736646,10.528384761701911,103.08333472012376
2010,2010,Export,Armenia,48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard",Southern Asia,Asia,167608,40.7696272,44.6736646,25.499703063807168,75.5024015339642
2010,2010,Export,Armenia,48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard",Southern Europe,Europe,193,40.7696272,44.6736646,40.12399607988535,20.742583178432696
2010,2010,Export,Armenia,48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard",Western Asia,Asia,11,40.7696272,44.6736646,26.42921218083572,52.86847103284948
2010,2010,Export,Armenia,48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard",Western Europe,Europe,1150,40.7696272,44.6736646,47.92172048214207,7.866753258497997
2010,2010,Export,Armenia,48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard",World,World,321707,40.7696272,44.6736646,,
2010,2010,Export,Armenia,48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard",Georgia, Georgia,86022,40.7696272,44.6736646,,
