yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2015,2015.0,Import,Armenia,World,22.0,"Beverages, spirits and vinegar",46884797.0,,40.7696272,44.6736646,-36.8535712,174.7456809
2015,2015.0,Import,Armenia,Argentina,22.0,"Beverages, spirits and vinegar",227.0,,40.7696272,44.6736646,-34.9964963,-64.9672817
2015,2015.0,Import,Armenia,Australia,22.0,"Beverages, spirits and vinegar",30732.0,,40.7696272,44.6736646,-24.7761086,134.755
2015,2015.0,Import,Armenia,Austria,22.0,"Beverages, spirits and vinegar",745425.0,,40.7696272,44.6736646,47.59397,14.12456
2015,2015.0,Import,Armenia,Bahamas,22.0,"Beverages, spirits and vinegar",1814.0,,40.7696272,44.6736646,24.7736546,-78.0000547
2015,2015.0,Import,Armenia,Barbados,22.0,"Beverages, spirits and vinegar",4097.0,,40.7696272,44.6736646,13.1500331,-59.5250305
2015,2015.0,Import,Armenia,Belgium,22.0,"Beverages, spirits and vinegar",57853.0,,40.7696272,44.6736646,50.6402809,4.6667145
2015,2015.0,Import,Armenia,Brazil,22.0,"Beverages, spirits and vinegar",872.0,,40.7696272,44.6736646,-10.3333333,-53.2
2015,2015.0,Import,Armenia,Bulgaria,22.0,"Beverages, spirits and vinegar",14620.0,,40.7696272,44.6736646,42.6073975,25.4856617
2015,2015.0,Import,Armenia,Belarus,22.0,"Beverages, spirits and vinegar",415389.0,,40.7696272,44.6736646,53.4250605,27.6971358
2015,2015.0,Import,Armenia,Canada,22.0,"Beverages, spirits and vinegar",3193.0,,40.7696272,44.6736646,61.0666922,-107.991707
2015,2015.0,Import,Armenia,Chile,22.0,"Beverages, spirits and vinegar",52531.0,,40.7696272,44.6736646,-31.7613365,-71.3187697
2015,2015.0,Import,Armenia,China,22.0,"Beverages, spirits and vinegar",2623.0,,40.7696272,44.6736646,35.000074,104.999927
2015,2015.0,Import,Armenia,Cuba,22.0,"Beverages, spirits and vinegar",19877.0,,40.7696272,44.6736646,23.0131338,-80.8328748
2015,2015.0,Import,Armenia,Czechia,22.0,"Beverages, spirits and vinegar",79809.0,,40.7696272,44.6736646,49.7439047,15.3381061
2015,2015.0,Import,Armenia,Denmark,22.0,"Beverages, spirits and vinegar",54600.0,,40.7696272,44.6736646,55.670249,10.3333283
2015,2015.0,Import,Armenia,Dominican Rep.,22.0,"Beverages, spirits and vinegar",196.0,,40.7696272,44.6736646,,
2015,2015.0,Import,Armenia,Fiji,22.0,"Beverages, spirits and vinegar",4547.0,,40.7696272,44.6736646,-18.1239696,179.0122737
2015,2015.0,Import,Armenia,Finland,22.0,"Beverages, spirits and vinegar",2095137.0,,40.7696272,44.6736646,63.2467777,25.9209164
2015,2015.0,Import,Armenia,France,22.0,"Beverages, spirits and vinegar",1010113.0,,40.7696272,44.6736646,46.603354,1.8883335
2015,2015.0,Import,Armenia,Georgia,22.0,"Beverages, spirits and vinegar",12651341.0,,40.7696272,44.6736646,32.3293809,-83.1137366
2015,2015.0,Import,Armenia,Germany,22.0,"Beverages, spirits and vinegar",391821.0,,40.7696272,44.6736646,51.1638175,10.4478313
2015,2015.0,Import,Armenia,Greece,22.0,"Beverages, spirits and vinegar",1104.0,,40.7696272,44.6736646,38.9953683,21.9877132
2015,2015.0,Import,Armenia,Guatemala,22.0,"Beverages, spirits and vinegar",7164.0,,40.7696272,44.6736646,15.5855545,-90.345759
2015,2015.0,Import,Armenia,Guyana,22.0,"Beverages, spirits and vinegar",131.0,,40.7696272,44.6736646,4.8417097,-58.6416891
2015,2015.0,Import,Armenia,Hungary,22.0,"Beverages, spirits and vinegar",76838.0,,40.7696272,44.6736646,47.1817585,19.5060937
2015,2015.0,Import,Armenia,Iran,22.0,"Beverages, spirits and vinegar",264.0,,40.7696272,44.6736646,32.6475314,54.5643516
2015,2015.0,Import,Armenia,Ireland,22.0,"Beverages, spirits and vinegar",145657.0,,40.7696272,44.6736646,52.865196,-7.9794599
2015,2015.0,Import,Armenia,Italy,22.0,"Beverages, spirits and vinegar",827259.0,,40.7696272,44.6736646,42.6384261,12.674297
2015,2015.0,Import,Armenia,Jamaica,22.0,"Beverages, spirits and vinegar",2680.0,,40.7696272,44.6736646,18.1850507,-77.3947693
2015,2015.0,Import,Armenia,Japan,22.0,"Beverages, spirits and vinegar",9451.0,,40.7696272,44.6736646,36.5748441,139.2394179
2015,2015.0,Import,Armenia,Rep. of Korea,22.0,"Beverages, spirits and vinegar",137352.0,,40.7696272,44.6736646,,
2015,2015.0,Import,Armenia,Malaysia,22.0,"Beverages, spirits and vinegar",81.0,,40.7696272,44.6736646,4.5693754,102.2656823
2015,2015.0,Import,Armenia,Maldives,22.0,"Beverages, spirits and vinegar",383.0,,40.7696272,44.6736646,3.7203503,73.2244152
2015,2015.0,Import,Armenia,Mexico,22.0,"Beverages, spirits and vinegar",315839.0,,40.7696272,44.6736646,23.6585116,-102.0077097
2015,2015.0,Import,Armenia,"Other Asia, nes",22.0,"Beverages, spirits and vinegar",56170.0,,40.7696272,44.6736646,,
2015,2015.0,Import,Armenia,Rep. of Moldova,22.0,"Beverages, spirits and vinegar",9654.0,,40.7696272,44.6736646,,
2015,2015.0,Import,Armenia,Netherlands,22.0,"Beverages, spirits and vinegar",127848.0,,40.7696272,44.6736646,52.2434979,5.6343227
2015,2015.0,Import,Armenia,New Zealand,22.0,"Beverages, spirits and vinegar",1564.0,,40.7696272,44.6736646,-41.5000831,172.8344077
