yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue
1998,1998,Import,Azerbaijan,85,"Electrical, electronic equipment",Australia and New Zealand,Oceania,7889
1998,1998,Import,Azerbaijan,85,"Electrical, electronic equipment",Central Asia,Asia,2252680
1998,1998,Import,Azerbaijan,85,"Electrical, electronic equipment",Eastern Asia,Asia,3765171
1998,1998,Import,Azerbaijan,85,"Electrical, electronic equipment",Eastern Europe,Europe,21751413
1998,1998,Import,Azerbaijan,85,"Electrical, electronic equipment",Latin America and the Caribbean,Americas,12381567
1998,1998,Import,Azerbaijan,85,"Electrical, electronic equipment",Northern America,Americas,6042191
1998,1998,Import,Azerbaijan,85,"Electrical, electronic equipment",Northern Europe,Europe,29318982
1998,1998,Import,Azerbaijan,85,"Electrical, electronic equipment",South-eastern Asia,Asia,192975
1998,1998,Import,Azerbaijan,85,"Electrical, electronic equipment",Southern Asia,Asia,1062210
1998,1998,Import,Azerbaijan,85,"Electrical, electronic equipment",Southern Europe,Europe,299799
1998,1998,Import,Azerbaijan,85,"Electrical, electronic equipment",Western Asia,Asia,57398620
1998,1998,Import,Azerbaijan,85,"Electrical, electronic equipment",Western Europe,Europe,7172203
1998,1998,Import,Azerbaijan,85,"Electrical, electronic equipment",World,World,178111456
