yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2007,2007,Import,Bahrain,91,Clocks and watches and parts thereof,Eastern Asia,Asia,5541343,26.1551249,50.5344606,37.977378106878206,73.97804075806764
2007,2007,Import,Bahrain,91,Clocks and watches and parts thereof,Northern America,Americas,80930,26.1551249,50.5344606,43.897683433510366,-100.08947125585888
2007,2007,Import,Bahrain,91,Clocks and watches and parts thereof,Northern Europe,Europe,51138,26.1551249,50.5344606,59.36075159783851,25.01346951967388
2007,2007,Import,Bahrain,91,Clocks and watches and parts thereof,South-eastern Asia,Asia,221438,26.1551249,50.5344606,10.528384761701911,103.08333472012376
2007,2007,Import,Bahrain,91,Clocks and watches and parts thereof,Southern Asia,Asia,590,26.1551249,50.5344606,25.499703063807168,75.5024015339642
2007,2007,Import,Bahrain,91,Clocks and watches and parts thereof,Southern Europe,Europe,360705,26.1551249,50.5344606,40.12399607988535,20.742583178432696
2007,2007,Import,Bahrain,91,Clocks and watches and parts thereof,Western Asia,Asia,9218,26.1551249,50.5344606,26.42921218083572,52.86847103284948
2007,2007,Import,Bahrain,91,Clocks and watches and parts thereof,Western Europe,Europe,13709163,26.1551249,50.5344606,47.92172048214207,7.866753258497997
2007,2007,Import,Bahrain,91,Clocks and watches and parts thereof,World,World,20810202,26.1551249,50.5344606,,
2007,2007,Import,Bahrain,91,Clocks and watches and parts thereof, Lebanon, Lebanon,34854,26.1551249,50.5344606,,
2007,2007,Import,Bahrain,91,Clocks and watches and parts thereof, United Arab Emirates, United Arab Emirates,162279,26.1551249,50.5344606,,
