yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue
1998,1998,Export,Cyprus,30,Pharmaceutical products,Central Asia,Asia,65028
1998,1998,Export,Cyprus,30,Pharmaceutical products,Eastern Asia,Asia,3099112
1998,1998,Export,Cyprus,30,Pharmaceutical products,Eastern Europe,Europe,4406217
1998,1998,Export,Cyprus,30,Pharmaceutical products,Latin America and the Caribbean,Americas,809776
1998,1998,Export,Cyprus,30,Pharmaceutical products,Melanesia,Oceania,4047
1998,1998,Export,Cyprus,30,Pharmaceutical products,Northern Africa,Africa,1201667
1998,1998,Export,Cyprus,30,Pharmaceutical products,Northern America,Americas,80163
1998,1998,Export,Cyprus,30,Pharmaceutical products,Northern Europe,Europe,1167896
1998,1998,Export,Cyprus,30,Pharmaceutical products,South-eastern Asia,Asia,4581187
1998,1998,Export,Cyprus,30,Pharmaceutical products,Southern Asia,Asia,1655209
1998,1998,Export,Cyprus,30,Pharmaceutical products,Southern Europe,Europe,1911006
1998,1998,Export,Cyprus,30,Pharmaceutical products,Sub-Saharan Africa,Africa,3180329
1998,1998,Export,Cyprus,30,Pharmaceutical products,Western Europe,Europe,5760522
1998,1998,Export,Cyprus,30,Pharmaceutical products,World,World,39504268
