yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2011,2011,Export,Cyprus,39,Plastics and articles thereof,Australia and New Zealand,Oceania,107314,34.9823018,33.1451285,-16.85099460447687,133.4130365630627
2011,2011,Export,Cyprus,39,Plastics and articles thereof,Eastern Asia,Asia,1467056,34.9823018,33.1451285,37.977378106878206,73.97804075806764
2011,2011,Export,Cyprus,39,Plastics and articles thereof,Eastern Europe,Europe,1018262,34.9823018,33.1451285,51.67568633314729,27.673469819741847
2011,2011,Export,Cyprus,39,Plastics and articles thereof,Egypt,Egypt,91501,34.9823018,33.1451285,,
2011,2011,Export,Cyprus,39,Plastics and articles thereof,Latin America and the Caribbean,Americas,81350,34.9823018,33.1451285,17.925141963241547,-78.01492950057497
2011,2011,Export,Cyprus,39,Plastics and articles thereof,Northern America,Americas,4243,34.9823018,33.1451285,43.897683433510366,-100.08947125585888
2011,2011,Export,Cyprus,39,Plastics and articles thereof,Northern Europe,Europe,1739356,34.9823018,33.1451285,59.36075159783851,25.01346951967388
2011,2011,Export,Cyprus,39,Plastics and articles thereof,South-eastern Asia,Asia,362848,34.9823018,33.1451285,10.528384761701911,103.08333472012376
2011,2011,Export,Cyprus,39,Plastics and articles thereof,Southern Asia,Asia,90859,34.9823018,33.1451285,25.499703063807168,75.5024015339642
2011,2011,Export,Cyprus,39,Plastics and articles thereof,Southern Europe,Europe,2974415,34.9823018,33.1451285,40.12399607988535,20.742583178432696
2011,2011,Export,Cyprus,39,Plastics and articles thereof,Sub-Saharan Africa,Africa,654416,34.9823018,33.1451285,6.06272746187266,22.727528470146083
2011,2011,Export,Cyprus,39,Plastics and articles thereof,Tunisia,Tunisia,144987,34.9823018,33.1451285,,
2011,2011,Export,Cyprus,39,Plastics and articles thereof,Western Asia,Asia,1530385,34.9823018,33.1451285,26.42921218083572,52.86847103284948
2011,2011,Export,Cyprus,39,Plastics and articles thereof,Western Europe,Europe,1446705,34.9823018,33.1451285,47.92172048214207,7.866753258497997
2011,2011,Export,Cyprus,39,Plastics and articles thereof,World,World,15696726,34.9823018,33.1451285,,
2011,2011,Export,Cyprus,39,Plastics and articles thereof,Bahrain, Bahrain,3551,34.9823018,33.1451285,,
2011,2011,Export,Cyprus,39,Plastics and articles thereof,Iraq, Iraq,328823,34.9823018,33.1451285,,
2011,2011,Export,Cyprus,39,Plastics and articles thereof,Israel, Israel,1104176,34.9823018,33.1451285,,
2011,2011,Export,Cyprus,39,Plastics and articles thereof,Jordan, Jordan,166272,34.9823018,33.1451285,,
2011,2011,Export,Cyprus,39,Plastics and articles thereof,Kuwait, Kuwait,23563,34.9823018,33.1451285,,
2011,2011,Export,Cyprus,39,Plastics and articles thereof,Lebanon, Lebanon,1473648,34.9823018,33.1451285,,
2011,2011,Export,Cyprus,39,Plastics and articles thereof,Libya, Libya,65236,34.9823018,33.1451285,,
2011,2011,Export,Cyprus,39,Plastics and articles thereof,Malta, Malta,273256,34.9823018,33.1451285,,
2011,2011,Export,Cyprus,39,Plastics and articles thereof,Morocco, Morocco,17313,34.9823018,33.1451285,,
2011,2011,Export,Cyprus,39,Plastics and articles thereof,Oman, Oman,171596,34.9823018,33.1451285,,
2011,2011,Export,Cyprus,39,Plastics and articles thereof,Pakistan, Pakistan,5071,34.9823018,33.1451285,,
2011,2011,Export,Cyprus,39,Plastics and articles thereof,Qatar, Qatar,23533,34.9823018,33.1451285,,
2011,2011,Export,Cyprus,39,Plastics and articles thereof,Saudi Arabia, Saudi Arabia,142708,34.9823018,33.1451285,,
2011,2011,Export,Cyprus,39,Plastics and articles thereof,United Arab Emirates, United Arab Emirates,81957,34.9823018,33.1451285,,
2011,2011,Export,Cyprus,39,Plastics and articles thereof,Yemen, Yemen,10418,34.9823018,33.1451285,,
