yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue
2012,2012,Import,Cyprus,72,Iron and steel,Australia and New Zealand,Oceania,422827
2012,2012,Import,Cyprus,72,Iron and steel,Eastern Asia,Asia,5272192
2012,2012,Import,Cyprus,72,Iron and steel,Eastern Europe,Europe,15094502
2012,2012,Import,Cyprus,72,Iron and steel,Northern Africa,Africa,562534
2012,2012,Import,Cyprus,72,Iron and steel,Northern America,Americas,412003
2012,2012,Import,Cyprus,72,Iron and steel,Northern Europe,Europe,768656
2012,2012,Import,Cyprus,72,Iron and steel,South-eastern Asia,Asia,96320
2012,2012,Import,Cyprus,72,Iron and steel,Southern Europe,Europe,84414609
2012,2012,Import,Cyprus,72,Iron and steel,Sub-Saharan Africa,Africa,95915
2012,2012,Import,Cyprus,72,Iron and steel,Western Asia,Asia,56855
2012,2012,Import,Cyprus,72,Iron and steel,Western Europe,Europe,9207422
2012,2012,Import,Cyprus,72,Iron and steel,World,World,120113804
