yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue
2014,2014,Import,Cyprus,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",Australia and New Zealand,Oceania,178419
2014,2014,Import,Cyprus,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",Eastern Asia,Asia,36866538
2014,2014,Import,Cyprus,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",Eastern Europe,Europe,16337873
2014,2014,Import,Cyprus,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",Latin America and the Caribbean,Americas,3833
2014,2014,Import,Cyprus,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",Melanesia,Oceania,931
2014,2014,Import,Cyprus,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",Northern Africa,Africa,1408
2014,2014,Import,Cyprus,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",Northern America,Americas,1571750
2014,2014,Import,Cyprus,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",Northern Europe,Europe,100010163
2014,2014,Import,Cyprus,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",South-eastern Asia,Asia,3069268
2014,2014,Import,Cyprus,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",Southern Asia,Asia,40659
2014,2014,Import,Cyprus,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",Southern Europe,Europe,40040230
2014,2014,Import,Cyprus,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",Sub-Saharan Africa,Africa,777157
2014,2014,Import,Cyprus,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",Western Asia,Asia,9022577
2014,2014,Import,Cyprus,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",Western Europe,Europe,128278933
2014,2014,Import,Cyprus,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",World,World,341666881
