yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2014,2014,Re-Export,Cyprus,40,Rubber and articles thereof,Eastern Europe,Europe,20535,34.9823018,33.1451285,51.67568633314729,27.673469819741847
2014,2014,Re-Export,Cyprus,40,Rubber and articles thereof,Egypt,Egypt,1115,34.9823018,33.1451285,,
2014,2014,Re-Export,Cyprus,40,Rubber and articles thereof,Latin America and the Caribbean,Americas,17660,34.9823018,33.1451285,17.925141963241547,-78.01492950057497
2014,2014,Re-Export,Cyprus,40,Rubber and articles thereof,Northern America,Americas,10014,34.9823018,33.1451285,43.897683433510366,-100.08947125585888
2014,2014,Re-Export,Cyprus,40,Rubber and articles thereof,Northern Europe,Europe,8790,34.9823018,33.1451285,59.36075159783851,25.01346951967388
2014,2014,Re-Export,Cyprus,40,Rubber and articles thereof,Southern Asia,Asia,73902,34.9823018,33.1451285,25.499703063807168,75.5024015339642
2014,2014,Re-Export,Cyprus,40,Rubber and articles thereof,Southern Europe,Europe,18291,34.9823018,33.1451285,40.12399607988535,20.742583178432696
2014,2014,Re-Export,Cyprus,40,Rubber and articles thereof,Sub-Saharan Africa,Africa,15820,34.9823018,33.1451285,6.06272746187266,22.727528470146083
2014,2014,Re-Export,Cyprus,40,Rubber and articles thereof,Sudan,Sudan,41922,34.9823018,33.1451285,,
2014,2014,Re-Export,Cyprus,40,Rubber and articles thereof,Tunisia,Tunisia,2338,34.9823018,33.1451285,,
2014,2014,Re-Export,Cyprus,40,Rubber and articles thereof,Western Europe,Europe,172962,34.9823018,33.1451285,47.92172048214207,7.866753258497997
2014,2014,Re-Export,Cyprus,40,Rubber and articles thereof,World,World,974139,34.9823018,33.1451285,,
2014,2014,Re-Export,Cyprus,40,Rubber and articles thereof,Iraq, Iraq,933,34.9823018,33.1451285,,
2014,2014,Re-Export,Cyprus,40,Rubber and articles thereof,Jordan, Jordan,326091,34.9823018,33.1451285,,
2014,2014,Re-Export,Cyprus,40,Rubber and articles thereof,Lebanon, Lebanon,1768,34.9823018,33.1451285,,
2014,2014,Re-Export,Cyprus,40,Rubber and articles thereof,Oman, Oman,199,34.9823018,33.1451285,,
2014,2014,Re-Export,Cyprus,40,Rubber and articles thereof,Qatar, Qatar,3744,34.9823018,33.1451285,,
2014,2014,Re-Export,Cyprus,40,Rubber and articles thereof,United Arab Emirates, United Arab Emirates,242056,34.9823018,33.1451285,,
