yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue
1995,1995,Import,Israel,70,Glass and glassware,Australia and New Zealand,Oceania,93000
1995,1995,Import,Israel,70,Glass and glassware,Eastern Asia,Asia,4709000
1995,1995,Import,Israel,70,Glass and glassware,Eastern Europe,Europe,1586000
1995,1995,Import,Israel,70,Glass and glassware,Latin America and the Caribbean,Americas,1131000
1995,1995,Import,Israel,70,Glass and glassware,Northern Africa,Africa,245000
1995,1995,Import,Israel,70,Glass and glassware,Northern America,Americas,27028000
1995,1995,Import,Israel,70,Glass and glassware,Northern Europe,Europe,10863000
1995,1995,Import,Israel,70,Glass and glassware,South-eastern Asia,Asia,1044000
1995,1995,Import,Israel,70,Glass and glassware,Southern Europe,Europe,36757000
1995,1995,Import,Israel,70,Glass and glassware,Western Asia,Asia,2831000
1995,1995,Import,Israel,70,Glass and glassware,Western Europe,Europe,41862000
1995,1995,Import,Israel,70,Glass and glassware,World,World,143708000
