yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue
1999,1999,Export,Israel,47,"Pulp of wood, fibrous cellulosic material, waste etc",Eastern Asia,Asia,2461000
1999,1999,Export,Israel,47,"Pulp of wood, fibrous cellulosic material, waste etc",Eastern Europe,Europe,344000
1999,1999,Export,Israel,47,"Pulp of wood, fibrous cellulosic material, waste etc",Latin America and the Caribbean,Americas,281000
1999,1999,Export,Israel,47,"Pulp of wood, fibrous cellulosic material, waste etc",Northern America,Americas,306000
1999,1999,Export,Israel,47,"Pulp of wood, fibrous cellulosic material, waste etc",Northern Europe,Europe,279000
1999,1999,Export,Israel,47,"Pulp of wood, fibrous cellulosic material, waste etc",South-eastern Asia,Asia,2254000
1999,1999,Export,Israel,47,"Pulp of wood, fibrous cellulosic material, waste etc",Southern Asia,Asia,22000
1999,1999,Export,Israel,47,"Pulp of wood, fibrous cellulosic material, waste etc",Southern Europe,Europe,2217000
1999,1999,Export,Israel,47,"Pulp of wood, fibrous cellulosic material, waste etc",Western Asia,Asia,631000
1999,1999,Export,Israel,47,"Pulp of wood, fibrous cellulosic material, waste etc",Western Europe,Europe,1965000
1999,1999,Export,Israel,47,"Pulp of wood, fibrous cellulosic material, waste etc",World,World,11029000
