yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2001,2001,Import,Israel,31,Fertilizers,Australia and New Zealand,Oceania,2000,30.8124247,34.8594762,-16.85099460447687,133.4130365630627
2001,2001,Import,Israel,31,Fertilizers,Eastern Asia,Asia,19000,30.8124247,34.8594762,37.977378106878206,73.97804075806764
2001,2001,Import,Israel,31,Fertilizers,Eastern Europe,Europe,3333000,30.8124247,34.8594762,51.67568633314729,27.673469819741847
2001,2001,Import,Israel,31,Fertilizers,Latin America and the Caribbean,Americas,19000,30.8124247,34.8594762,17.925141963241547,-78.01492950057497
2001,2001,Import,Israel,31,Fertilizers,Northern Africa,Africa,54000,30.8124247,34.8594762,19.569604022535763,12.47761721199581
2001,2001,Import,Israel,31,Fertilizers,Northern America,Americas,152000,30.8124247,34.8594762,43.897683433510366,-100.08947125585888
2001,2001,Import,Israel,31,Fertilizers,Northern Europe,Europe,1862000,30.8124247,34.8594762,59.36075159783851,25.01346951967388
2001,2001,Import,Israel,31,Fertilizers,Southern Europe,Europe,2792000,30.8124247,34.8594762,40.12399607988535,20.742583178432696
2001,2001,Import,Israel,31,Fertilizers,Sub-Saharan Africa,Africa,26000,30.8124247,34.8594762,6.06272746187266,22.727528470146083
2001,2001,Import,Israel,31,Fertilizers,Western Asia,Asia,33000,30.8124247,34.8594762,26.42921218083572,52.86847103284948
2001,2001,Import,Israel,31,Fertilizers,Western Europe,Europe,9779000,30.8124247,34.8594762,47.92172048214207,7.866753258497997
2001,2001,Import,Israel,31,Fertilizers,World,World,18103000,30.8124247,34.8594762,,
