yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue
1997,1997,Re-Export,Jordan,84,"Nuclear reactors, boilers, machinery, etc",Central Asia,Asia,11988
1997,1997,Re-Export,Jordan,84,"Nuclear reactors, boilers, machinery, etc",Eastern Asia,Asia,296815
1997,1997,Re-Export,Jordan,84,"Nuclear reactors, boilers, machinery, etc",Eastern Europe,Europe,684057
1997,1997,Re-Export,Jordan,84,"Nuclear reactors, boilers, machinery, etc",Latin America and the Caribbean,Americas,59238
1997,1997,Re-Export,Jordan,84,"Nuclear reactors, boilers, machinery, etc",Northern Africa,Africa,1584148
1997,1997,Re-Export,Jordan,84,"Nuclear reactors, boilers, machinery, etc",Northern America,Americas,1473013
1997,1997,Re-Export,Jordan,84,"Nuclear reactors, boilers, machinery, etc",Northern Europe,Europe,1056073
1997,1997,Re-Export,Jordan,84,"Nuclear reactors, boilers, machinery, etc",South-eastern Asia,Asia,119107
1997,1997,Re-Export,Jordan,84,"Nuclear reactors, boilers, machinery, etc",Southern Asia,Asia,67700
1997,1997,Re-Export,Jordan,84,"Nuclear reactors, boilers, machinery, etc",Southern Europe,Europe,3027713
1997,1997,Re-Export,Jordan,84,"Nuclear reactors, boilers, machinery, etc",Sub-Saharan Africa,Africa,782478
1997,1997,Re-Export,Jordan,84,"Nuclear reactors, boilers, machinery, etc",Western Asia,Asia,769308
1997,1997,Re-Export,Jordan,84,"Nuclear reactors, boilers, machinery, etc",Western Europe,Europe,988270
1997,1997,Re-Export,Jordan,84,"Nuclear reactors, boilers, machinery, etc",World,World,47520152
