yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue
1999,1999,Export,Jordan,76,Aluminium and articles thereof,Eastern Asia,Asia,3495023
1999,1999,Export,Jordan,76,Aluminium and articles thereof,Eastern Europe,Europe,191556
1999,1999,Export,Jordan,76,Aluminium and articles thereof,Northern Africa,Africa,146252
1999,1999,Export,Jordan,76,Aluminium and articles thereof,Northern America,Americas,749190
1999,1999,Export,Jordan,76,Aluminium and articles thereof,Northern Europe,Europe,308641
1999,1999,Export,Jordan,76,Aluminium and articles thereof,Southern Asia,Asia,327532
1999,1999,Export,Jordan,76,Aluminium and articles thereof,Southern Europe,Europe,673679
1999,1999,Export,Jordan,76,Aluminium and articles thereof,Sub-Saharan Africa,Africa,84625
1999,1999,Export,Jordan,76,Aluminium and articles thereof,Western Asia,Asia,2491213
1999,1999,Export,Jordan,76,Aluminium and articles thereof,Western Europe,Europe,1988879
1999,1999,Export,Jordan,76,Aluminium and articles thereof,World,World,24861696
