yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue
2003,2003,Import,Jordan,69,Ceramic products,Eastern Asia,Asia,6896089
2003,2003,Import,Jordan,69,Ceramic products,Eastern Europe,Europe,114692
2003,2003,Import,Jordan,69,Ceramic products,Latin America and the Caribbean,Americas,311147
2003,2003,Import,Jordan,69,Ceramic products,Northern Africa,Africa,6064571
2003,2003,Import,Jordan,69,Ceramic products,Northern America,Americas,208608
2003,2003,Import,Jordan,69,Ceramic products,Northern Europe,Europe,423316
2003,2003,Import,Jordan,69,Ceramic products,South-eastern Asia,Asia,182368
2003,2003,Import,Jordan,69,Ceramic products,Southern Asia,Asia,17945
2003,2003,Import,Jordan,69,Ceramic products,Southern Europe,Europe,10327565
2003,2003,Import,Jordan,69,Ceramic products,Western Asia,Asia,1995006
2003,2003,Import,Jordan,69,Ceramic products,Western Europe,Europe,2898492
2003,2003,Import,Jordan,69,Ceramic products,World,World,36018372
