yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2005,2005,Export,Jordan,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",Australia and New Zealand,Oceania,37574,31.1667049,36.941628,-16.85099460447687,133.4130365630627
2005,2005,Export,Jordan,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",Central Asia,Asia,1546,31.1667049,36.941628,39.89317229901691,61.060280637304274
2005,2005,Export,Jordan,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",Eastern Asia,Asia,421025,31.1667049,36.941628,37.977378106878206,73.97804075806764
2005,2005,Export,Jordan,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",Eastern Europe,Europe,362171,31.1667049,36.941628,51.67568633314729,27.673469819741847
2005,2005,Export,Jordan,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",Latin America and the Caribbean,Americas,19744,31.1667049,36.941628,17.925141963241547,-78.01492950057497
2005,2005,Export,Jordan,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",Northern Africa,Africa,43726,31.1667049,36.941628,19.569604022535763,12.47761721199581
2005,2005,Export,Jordan,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",Northern America,Americas,459884,31.1667049,36.941628,43.897683433510366,-100.08947125585888
2005,2005,Export,Jordan,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",Northern Europe,Europe,144589,31.1667049,36.941628,59.36075159783851,25.01346951967388
2005,2005,Export,Jordan,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",South-eastern Asia,Asia,183734,31.1667049,36.941628,10.528384761701911,103.08333472012376
2005,2005,Export,Jordan,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",Southern Asia,Asia,992,31.1667049,36.941628,25.499703063807168,75.5024015339642
2005,2005,Export,Jordan,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",Southern Europe,Europe,99691,31.1667049,36.941628,40.12399607988535,20.742583178432696
2005,2005,Export,Jordan,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",Sub-Saharan Africa,Africa,74769,31.1667049,36.941628,6.06272746187266,22.727528470146083
2005,2005,Export,Jordan,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",Western Asia,Asia,435991,31.1667049,36.941628,26.42921218083572,52.86847103284948
2005,2005,Export,Jordan,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",Western Europe,Europe,336452,31.1667049,36.941628,47.92172048214207,7.866753258497997
2005,2005,Export,Jordan,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",World,World,17740509,31.1667049,36.941628,,
