yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2008,2008,Import,Jordan,90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof",Australia and New Zealand,Oceania,2144604,31.1667049,36.941628,-16.85099460447687,133.4130365630627
2008,2008,Import,Jordan,90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof",Eastern Asia,Asia,29805005,31.1667049,36.941628,37.977378106878206,73.97804075806764
2008,2008,Import,Jordan,90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof",Eastern Europe,Europe,506211,31.1667049,36.941628,51.67568633314729,27.673469819741847
2008,2008,Import,Jordan,90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof",Egypt,Egypt,234795,31.1667049,36.941628,,
2008,2008,Import,Jordan,90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof",Latin America and the Caribbean,Americas,1424288,31.1667049,36.941628,17.925141963241547,-78.01492950057497
2008,2008,Import,Jordan,90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof",Northern America,Americas,53608624,31.1667049,36.941628,43.897683433510366,-100.08947125585888
2008,2008,Import,Jordan,90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof",Northern Europe,Europe,20547035,31.1667049,36.941628,59.36075159783851,25.01346951967388
2008,2008,Import,Jordan,90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof",South-eastern Asia,Asia,2529106,31.1667049,36.941628,10.528384761701911,103.08333472012376
2008,2008,Import,Jordan,90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof",Southern Asia,Asia,42824,31.1667049,36.941628,25.499703063807168,75.5024015339642
2008,2008,Import,Jordan,90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof",Southern Europe,Europe,15081424,31.1667049,36.941628,40.12399607988535,20.742583178432696
2008,2008,Import,Jordan,90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof",Sub-Saharan Africa,Africa,4930,31.1667049,36.941628,6.06272746187266,22.727528470146083
2008,2008,Import,Jordan,90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof",Tunisia,Tunisia,33708,31.1667049,36.941628,,
2008,2008,Import,Jordan,90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof",Western Asia,Asia,2120120,31.1667049,36.941628,26.42921218083572,52.86847103284948
2008,2008,Import,Jordan,90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof",Western Europe,Europe,52743316,31.1667049,36.941628,47.92172048214207,7.866753258497997
