yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2017,2017,Import,Jordan,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",Australia and New Zealand,Oceania,65204,31.1667049,36.941628,-16.85099460447687,133.4130365630627
2017,2017,Import,Jordan,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",Eastern Asia,Asia,12085342,31.1667049,36.941628,37.977378106878206,73.97804075806764
2017,2017,Import,Jordan,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",Eastern Europe,Europe,2361567,31.1667049,36.941628,51.67568633314729,27.673469819741847
2017,2017,Import,Jordan,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",Egypt,Egypt,53369,31.1667049,36.941628,,
2017,2017,Import,Jordan,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",Latin America and the Caribbean,Americas,244799,31.1667049,36.941628,17.925141963241547,-78.01492950057497
2017,2017,Import,Jordan,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",Northern America,Americas,1021791,31.1667049,36.941628,43.897683433510366,-100.08947125585888
2017,2017,Import,Jordan,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",Northern Europe,Europe,767984,31.1667049,36.941628,59.36075159783851,25.01346951967388
2017,2017,Import,Jordan,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",South-eastern Asia,Asia,576603,31.1667049,36.941628,10.528384761701911,103.08333472012376
2017,2017,Import,Jordan,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",Southern Europe,Europe,1148071,31.1667049,36.941628,40.12399607988535,20.742583178432696
2017,2017,Import,Jordan,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",Sub-Saharan Africa,Africa,142742,31.1667049,36.941628,6.06272746187266,22.727528470146083
2017,2017,Import,Jordan,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",Tunisia,Tunisia,2097920,31.1667049,36.941628,,
2017,2017,Import,Jordan,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",Western Asia,Asia,2286404,31.1667049,36.941628,26.42921218083572,52.86847103284948
2017,2017,Import,Jordan,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",Western Europe,Europe,4622090,31.1667049,36.941628,47.92172048214207,7.866753258497997
2017,2017,Import,Jordan,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",World,World,57994486,31.1667049,36.941628,,
2017,2017,Import,Jordan,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",Algeria, Algeria,131345,31.1667049,36.941628,,
2017,2017,Import,Jordan,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",Bahrain, Bahrain,796015,31.1667049,36.941628,,
2017,2017,Import,Jordan,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",Georgia, Georgia,69338,31.1667049,36.941628,,
2017,2017,Import,Jordan,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",Israel, Israel,870460,31.1667049,36.941628,,
2017,2017,Import,Jordan,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",Kuwait, Kuwait,7603162,31.1667049,36.941628,,
2017,2017,Import,Jordan,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",Lebanon, Lebanon,29895,31.1667049,36.941628,,
2017,2017,Import,Jordan,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",Qatar, Qatar,371009,31.1667049,36.941628,,
2017,2017,Import,Jordan,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",Saudi Arabia, Saudi Arabia,12105181,31.1667049,36.941628,,
2017,2017,Import,Jordan,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",United Arab Emirates, United Arab Emirates,715088,31.1667049,36.941628,,
