yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue
2000,2000,Import,Kuwait,35,"Albuminoids, modified starches, glues, enzymes",Australia and New Zealand,Oceania,613
2000,2000,Import,Kuwait,35,"Albuminoids, modified starches, glues, enzymes",Eastern Asia,Asia,408609
2000,2000,Import,Kuwait,35,"Albuminoids, modified starches, glues, enzymes",Eastern Europe,Europe,7207
2000,2000,Import,Kuwait,35,"Albuminoids, modified starches, glues, enzymes",Latin America and the Caribbean,Americas,52149
2000,2000,Import,Kuwait,35,"Albuminoids, modified starches, glues, enzymes",Northern Africa,Africa,98995
2000,2000,Import,Kuwait,35,"Albuminoids, modified starches, glues, enzymes",Northern America,Americas,1384808
2000,2000,Import,Kuwait,35,"Albuminoids, modified starches, glues, enzymes",Northern Europe,Europe,665963
2000,2000,Import,Kuwait,35,"Albuminoids, modified starches, glues, enzymes",South-eastern Asia,Asia,45561
2000,2000,Import,Kuwait,35,"Albuminoids, modified starches, glues, enzymes",Southern Asia,Asia,89183
2000,2000,Import,Kuwait,35,"Albuminoids, modified starches, glues, enzymes",Southern Europe,Europe,1208677
2000,2000,Import,Kuwait,35,"Albuminoids, modified starches, glues, enzymes",Western Asia,Asia,1663
2000,2000,Import,Kuwait,35,"Albuminoids, modified starches, glues, enzymes",Western Europe,Europe,2519587
2000,2000,Import,Kuwait,35,"Albuminoids, modified starches, glues, enzymes",World,World,8129713
