yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue
2013,2013,Export,Kuwait,1,Animals; live,Australia and New Zealand,Oceania,705
2013,2013,Export,Kuwait,1,Animals; live,Eastern Asia,Asia,705
2013,2013,Export,Kuwait,1,Animals; live,Eastern Europe,Europe,882
2013,2013,Export,Kuwait,1,Animals; live,Latin America and the Caribbean,Americas,529
2013,2013,Export,Kuwait,1,Animals; live,Northern Africa,Africa,16089
2013,2013,Export,Kuwait,1,Animals; live,Northern America,Americas,22540
2013,2013,Export,Kuwait,1,Animals; live,Northern Europe,Europe,10371
2013,2013,Export,Kuwait,1,Animals; live,South-eastern Asia,Asia,2628
2013,2013,Export,Kuwait,1,Animals; live,Southern Asia,Asia,310485
2013,2013,Export,Kuwait,1,Animals; live,Sub-Saharan Africa,Africa,8642
2013,2013,Export,Kuwait,1,Animals; live,Western Europe,Europe,5821
2013,2013,Export,Kuwait,1,Animals; live,World,World,3921611
