yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2013,2013,Export,Kuwait,75,Nickel and articles thereof,Eastern Asia,Asia,63494,29.2733964,47.4979476,37.977378106878206,73.97804075806764
2013,2013,Export,Kuwait,75,Nickel and articles thereof,Egypt,Egypt,5926,29.2733964,47.4979476,,
2013,2013,Export,Kuwait,75,Nickel and articles thereof,Western Europe,Europe,18,29.2733964,47.4979476,47.92172048214207,7.866753258497997
2013,2013,Export,Kuwait,75,Nickel and articles thereof,World,World,492380,29.2733964,47.4979476,,
2013,2013,Export,Kuwait,75,Nickel and articles thereof, Bahrain, Bahrain,6046,29.2733964,47.4979476,,
2013,2013,Export,Kuwait,75,Nickel and articles thereof, Iraq, Iraq,1517,29.2733964,47.4979476,,
2013,2013,Export,Kuwait,75,Nickel and articles thereof, Jordan, Jordan,42544,29.2733964,47.4979476,,
2013,2013,Export,Kuwait,75,Nickel and articles thereof, Oman, Oman,2293,29.2733964,47.4979476,,
2013,2013,Export,Kuwait,75,Nickel and articles thereof, Qatar, Qatar,70549,29.2733964,47.4979476,,
2013,2013,Export,Kuwait,75,Nickel and articles thereof, Saudi Arabia, Saudi Arabia,113230,29.2733964,47.4979476,,
2013,2013,Export,Kuwait,75,Nickel and articles thereof, United Arab Emirates, United Arab Emirates,98577,29.2733964,47.4979476,,
