yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2020,2020,Import,Kuwait,World,97,Works of art; collectors' pieces and antiques,8166358,,,-36.8535712,174.7456809
2020,2020,Import,Kuwait,Azerbaijan,97,Works of art; collectors' pieces and antiques,7113,,,40.3936294,47.7872508
2020,2020,Import,Kuwait,Australia,97,Works of art; collectors' pieces and antiques,15970,,,-24.7761086,134.755
2020,2020,Import,Kuwait,Austria,97,Works of art; collectors' pieces and antiques,651,,,47.59397,14.12456
2020,2020,Import,Kuwait,Bahrain,97,Works of art; collectors' pieces and antiques,97511,,,26.1551249,50.5344606
2020,2020,Import,Kuwait,Belgium,97,Works of art; collectors' pieces and antiques,170196,,,50.6402809,4.6667145
2020,2020,Import,Kuwait,Canada,97,Works of art; collectors' pieces and antiques,37511,,,61.0666922,-107.991707
2020,2020,Import,Kuwait,Sri Lanka,97,Works of art; collectors' pieces and antiques,2069,,,7.5554942,80.7137847
2020,2020,Import,Kuwait,China,97,Works of art; collectors' pieces and antiques,669901,,,35.000074,104.999927
2020,2020,Import,Kuwait,Cyprus,97,Works of art; collectors' pieces and antiques,50818,,,34.9823018,33.1451285
2020,2020,Import,Kuwait,Denmark,97,Works of art; collectors' pieces and antiques,12077,,,55.670249,10.3333283
2020,2020,Import,Kuwait,Estonia,97,Works of art; collectors' pieces and antiques,590,,,58.7523778,25.3319078
2020,2020,Import,Kuwait,France,97,Works of art; collectors' pieces and antiques,1325205,,,46.603354,1.8883335
2020,2020,Import,Kuwait,Germany,97,Works of art; collectors' pieces and antiques,157429,,,51.1638175,10.4478313
2020,2020,Import,Kuwait,Greece,97,Works of art; collectors' pieces and antiques,3956,,,38.9953683,21.9877132
2020,2020,Import,Kuwait,Hungary,97,Works of art; collectors' pieces and antiques,11558,,,47.1817585,19.5060937
2020,2020,Import,Kuwait,Indonesia,97,Works of art; collectors' pieces and antiques,5521,,,-2.4833826,117.8902853
2020,2020,Import,Kuwait,Iran,97,Works of art; collectors' pieces and antiques,32623,,,32.6475314,54.5643516
2020,2020,Import,Kuwait,Ireland,97,Works of art; collectors' pieces and antiques,9681,,,52.865196,-7.9794599
2020,2020,Import,Kuwait,Italy,97,Works of art; collectors' pieces and antiques,94263,,,42.6384261,12.674297
2020,2020,Import,Kuwait,Jordan,97,Works of art; collectors' pieces and antiques,4323,,,31.1667049,36.941628
2020,2020,Import,Kuwait,Rep. of Korea,97,Works of art; collectors' pieces and antiques,485,,,,
2020,2020,Import,Kuwait,Lebanon,97,Works of art; collectors' pieces and antiques,7519,,,33.8750629,35.843409
2020,2020,Import,Kuwait,Lithuania,97,Works of art; collectors' pieces and antiques,589,,,55.3500003,23.7499997
2020,2020,Import,Kuwait,Malaysia,97,Works of art; collectors' pieces and antiques,175,,,4.5693754,102.2656823
2020,2020,Import,Kuwait,Morocco,97,Works of art; collectors' pieces and antiques,4323,,,31.1728205,-7.3362482
2020,2020,Import,Kuwait,Oman,97,Works of art; collectors' pieces and antiques,491,,,21.0000287,57.0036901
2020,2020,Import,Kuwait,Netherlands,97,Works of art; collectors' pieces and antiques,35364,,,52.2434979,5.6343227
2020,2020,Import,Kuwait,Philippines,97,Works of art; collectors' pieces and antiques,6141,,,12.7503486,122.7312101
2020,2020,Import,Kuwait,Poland,97,Works of art; collectors' pieces and antiques,97443,,,52.215933,19.134422
2020,2020,Import,Kuwait,Portugal,97,Works of art; collectors' pieces and antiques,9354,,,39.6621648,-8.1353519
2020,2020,Import,Kuwait,Qatar,97,Works of art; collectors' pieces and antiques,494,,,25.3336984,51.2295295
2020,2020,Import,Kuwait,Russian Federation,97,Works of art; collectors' pieces and antiques,658,,,64.6863136,97.7453061
2020,2020,Import,Kuwait,Saudi Arabia,97,Works of art; collectors' pieces and antiques,18111,,,25.6242618,42.3528328
2020,2020,Import,Kuwait,India,97,Works of art; collectors' pieces and antiques,27512,,,22.3511148,78.6677428
2020,2020,Import,Kuwait,Singapore,97,Works of art; collectors' pieces and antiques,3986,,,1.357107,103.8194992
2020,2020,Import,Kuwait,South Africa,97,Works of art; collectors' pieces and antiques,20611,,,-28.8166236,24.991639
2020,2020,Import,Kuwait,Spain,97,Works of art; collectors' pieces and antiques,240101,,,39.3260685,-4.8379791
2020,2020,Import,Kuwait,Sweden,97,Works of art; collectors' pieces and antiques,3485,,,59.6749712,14.5208584
2020,2020,Import,Kuwait,Switzerland,97,Works of art; collectors' pieces and antiques,8489,,,46.7985624,8.2319736
2020,2020,Import,Kuwait,Thailand,97,Works of art; collectors' pieces and antiques,5356,,,14.8971921,100.83273
2020,2020,Import,Kuwait,United Arab Emirates,97,Works of art; collectors' pieces and antiques,58465,,,24.0002488,53.9994829
2020,2020,Import,Kuwait,Tunisia,97,Works of art; collectors' pieces and antiques,998,,,33.8439408,9.400138
2020,2020,Import,Kuwait,Turkey,97,Works of art; collectors' pieces and antiques,32839,,,38.9597594,34.9249653
2020,2020,Import,Kuwait,Ukraine,97,Works of art; collectors' pieces and antiques,3992,,,49.4871968,31.2718321
2020,2020,Import,Kuwait,Egypt,97,Works of art; collectors' pieces and antiques,48100,,,26.2540493,29.2675469
2020,2020,Import,Kuwait,United Kingdom,97,Works of art; collectors' pieces and antiques,2310698,,,54.7023545,-3.2765753
2020,2020,Import,Kuwait,USA,97,Works of art; collectors' pieces and antiques,1260157,,,,
2020,2020,Import,Kuwait,"Areas, nes",97,Works of art; collectors' pieces and antiques,1251456,,,,
