yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue
1998,1998,Import,Lebanon,92,"Musical instruments, parts and accessories",Eastern Asia,Asia,993574
1998,1998,Import,Lebanon,92,"Musical instruments, parts and accessories",Eastern Europe,Europe,82117
1998,1998,Import,Lebanon,92,"Musical instruments, parts and accessories",Latin America and the Caribbean,Americas,54329
1998,1998,Import,Lebanon,92,"Musical instruments, parts and accessories",Northern Africa,Africa,8344
1998,1998,Import,Lebanon,92,"Musical instruments, parts and accessories",Northern America,Americas,235392
1998,1998,Import,Lebanon,92,"Musical instruments, parts and accessories",Northern Europe,Europe,48407
1998,1998,Import,Lebanon,92,"Musical instruments, parts and accessories",South-eastern Asia,Asia,187229
1998,1998,Import,Lebanon,92,"Musical instruments, parts and accessories",Southern Europe,Europe,341906
1998,1998,Import,Lebanon,92,"Musical instruments, parts and accessories",Western Asia,Asia,12670
1998,1998,Import,Lebanon,92,"Musical instruments, parts and accessories",Western Europe,Europe,389523
1998,1998,Import,Lebanon,92,"Musical instruments, parts and accessories",World,World,2489385
