yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2008,2008,Import,Libya,62,"Articles of apparel and clothing accessories, not knitted or crocheted",Eastern Asia,Asia,45227144,26.8234472,18.1236723,37.977378106878206,73.97804075806764
2008,2008,Import,Libya,62,"Articles of apparel and clothing accessories, not knitted or crocheted",Eastern Europe,Europe,8363,26.8234472,18.1236723,51.67568633314729,27.673469819741847
2008,2008,Import,Libya,62,"Articles of apparel and clothing accessories, not knitted or crocheted",Latin America and the Caribbean,Americas,538382,26.8234472,18.1236723,17.925141963241547,-78.01492950057497
2008,2008,Import,Libya,62,"Articles of apparel and clothing accessories, not knitted or crocheted",Northern Africa,Africa,672607,26.8234472,18.1236723,19.569604022535763,12.47761721199581
2008,2008,Import,Libya,62,"Articles of apparel and clothing accessories, not knitted or crocheted",Northern America,Americas,399309,26.8234472,18.1236723,43.897683433510366,-100.08947125585888
2008,2008,Import,Libya,62,"Articles of apparel and clothing accessories, not knitted or crocheted",Northern Europe,Europe,783663,26.8234472,18.1236723,59.36075159783851,25.01346951967388
2008,2008,Import,Libya,62,"Articles of apparel and clothing accessories, not knitted or crocheted",South-eastern Asia,Asia,577818,26.8234472,18.1236723,10.528384761701911,103.08333472012376
2008,2008,Import,Libya,62,"Articles of apparel and clothing accessories, not knitted or crocheted",Southern Asia,Asia,114717,26.8234472,18.1236723,25.499703063807168,75.5024015339642
2008,2008,Import,Libya,62,"Articles of apparel and clothing accessories, not knitted or crocheted",Southern Europe,Europe,1179451,26.8234472,18.1236723,40.12399607988535,20.742583178432696
2008,2008,Import,Libya,62,"Articles of apparel and clothing accessories, not knitted or crocheted",Western Asia,Asia,5128392,26.8234472,18.1236723,26.42921218083572,52.86847103284948
2008,2008,Import,Libya,62,"Articles of apparel and clothing accessories, not knitted or crocheted",Western Europe,Europe,1215238,26.8234472,18.1236723,47.92172048214207,7.866753258497997
2008,2008,Import,Libya,62,"Articles of apparel and clothing accessories, not knitted or crocheted",World,World,70398805,26.8234472,18.1236723,,
