yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue
2009,2009,Import,Libya,16,"Preparations of meat, of fish or of crustaceans",Eastern Asia,Asia,526692
2009,2009,Import,Libya,16,"Preparations of meat, of fish or of crustaceans",Eastern Europe,Europe,633721
2009,2009,Import,Libya,16,"Preparations of meat, of fish or of crustaceans",Latin America and the Caribbean,Americas,554554
2009,2009,Import,Libya,16,"Preparations of meat, of fish or of crustaceans",Northern Africa,Africa,1256050
2009,2009,Import,Libya,16,"Preparations of meat, of fish or of crustaceans",Northern Europe,Europe,19713
2009,2009,Import,Libya,16,"Preparations of meat, of fish or of crustaceans",South-eastern Asia,Asia,26000214
2009,2009,Import,Libya,16,"Preparations of meat, of fish or of crustaceans",Southern Europe,Europe,2160437
2009,2009,Import,Libya,16,"Preparations of meat, of fish or of crustaceans",Sub-Saharan Africa,Africa,1412702
2009,2009,Import,Libya,16,"Preparations of meat, of fish or of crustaceans",Western Asia,Asia,1010724
2009,2009,Import,Libya,16,"Preparations of meat, of fish or of crustaceans",World,World,34667671
