yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2003,2003,Re-Export,Malta,61,"Articles of apparel and clothing accessories, knitted or crocheted",Australia and New Zealand,Oceania,133,35.8885993,14.4476911,-16.85099460447687,133.4130365630627
2003,2003,Re-Export,Malta,61,"Articles of apparel and clothing accessories, knitted or crocheted",Eastern Asia,Asia,785067,35.8885993,14.4476911,37.977378106878206,73.97804075806764
2003,2003,Re-Export,Malta,61,"Articles of apparel and clothing accessories, knitted or crocheted",Eastern Europe,Europe,30339,35.8885993,14.4476911,51.67568633314729,27.673469819741847
2003,2003,Re-Export,Malta,61,"Articles of apparel and clothing accessories, knitted or crocheted",Egypt,Egypt,114,35.8885993,14.4476911,,
2003,2003,Re-Export,Malta,61,"Articles of apparel and clothing accessories, knitted or crocheted",Northern America,Americas,215521,35.8885993,14.4476911,43.897683433510366,-100.08947125585888
2003,2003,Re-Export,Malta,61,"Articles of apparel and clothing accessories, knitted or crocheted",Northern Europe,Europe,267461,35.8885993,14.4476911,59.36075159783851,25.01346951967388
2003,2003,Re-Export,Malta,61,"Articles of apparel and clothing accessories, knitted or crocheted",South-eastern Asia,Asia,17317,35.8885993,14.4476911,10.528384761701911,103.08333472012376
2003,2003,Re-Export,Malta,61,"Articles of apparel and clothing accessories, knitted or crocheted",Southern Asia,Asia,1098,35.8885993,14.4476911,25.499703063807168,75.5024015339642
2003,2003,Re-Export,Malta,61,"Articles of apparel and clothing accessories, knitted or crocheted",Southern Europe,Europe,19586,35.8885993,14.4476911,40.12399607988535,20.742583178432696
2003,2003,Re-Export,Malta,61,"Articles of apparel and clothing accessories, knitted or crocheted",Sub-Saharan Africa,Africa,9200,35.8885993,14.4476911,6.06272746187266,22.727528470146083
2003,2003,Re-Export,Malta,61,"Articles of apparel and clothing accessories, knitted or crocheted",Western Asia,Asia,12621,35.8885993,14.4476911,26.42921218083572,52.86847103284948
2003,2003,Re-Export,Malta,61,"Articles of apparel and clothing accessories, knitted or crocheted",Western Europe,Europe,900301,35.8885993,14.4476911,47.92172048214207,7.866753258497997
2003,2003,Re-Export,Malta,61,"Articles of apparel and clothing accessories, knitted or crocheted",World,World,2401592,35.8885993,14.4476911,,
2003,2003,Re-Export,Malta,61,"Articles of apparel and clothing accessories, knitted or crocheted", Algeria, Algeria,2546,35.8885993,14.4476911,,
2003,2003,Re-Export,Malta,61,"Articles of apparel and clothing accessories, knitted or crocheted", Lebanon, Lebanon,3306,35.8885993,14.4476911,,
2003,2003,Re-Export,Malta,61,"Articles of apparel and clothing accessories, knitted or crocheted", Libya, Libya,113217,35.8885993,14.4476911,,
2003,2003,Re-Export,Malta,61,"Articles of apparel and clothing accessories, knitted or crocheted", Morocco, Morocco,17473,35.8885993,14.4476911,,
2003,2003,Re-Export,Malta,61,"Articles of apparel and clothing accessories, knitted or crocheted", Oman, Oman,1568,35.8885993,14.4476911,,
2003,2003,Re-Export,Malta,61,"Articles of apparel and clothing accessories, knitted or crocheted", United Arab Emirates, United Arab Emirates,4600,35.8885993,14.4476911,,
