yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2007,2007,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,20204,35.8885993,14.4476911,-16.85099460447687,133.4130365630627
2007,2007,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,24952,35.8885993,14.4476911,37.977378106878206,73.97804075806764
2007,2007,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,18369,35.8885993,14.4476911,51.67568633314729,27.673469819741847
2007,2007,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,268354,35.8885993,14.4476911,17.925141963241547,-78.01492950057497
2007,2007,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Africa,Africa,303,35.8885993,14.4476911,19.569604022535763,12.47761721199581
2007,2007,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,39861,35.8885993,14.4476911,43.897683433510366,-100.08947125585888
2007,2007,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,900726,35.8885993,14.4476911,59.36075159783851,25.01346951967388
2007,2007,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,4533,35.8885993,14.4476911,10.528384761701911,103.08333472012376
2007,2007,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,1375132,35.8885993,14.4476911,40.12399607988535,20.742583178432696
2007,2007,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,6947,35.8885993,14.4476911,26.42921218083572,52.86847103284948
2007,2007,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,1020195,35.8885993,14.4476911,47.92172048214207,7.866753258497997
2007,2007,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,3684432,35.8885993,14.4476911,,
