yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2014,2014,Export,Malta,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",Eastern Asia,Asia,36460847,35.8885993,14.4476911,37.977378106878206,73.97804075806764
2014,2014,Export,Malta,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",Eastern Europe,Europe,9334908,35.8885993,14.4476911,51.67568633314729,27.673469819741847
2014,2014,Export,Malta,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",Latin America and the Caribbean,Americas,14191293,35.8885993,14.4476911,17.925141963241547,-78.01492950057497
2014,2014,Export,Malta,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",Northern Africa,Africa,803473655,35.8885993,14.4476911,19.569604022535763,12.47761721199581
2014,2014,Export,Malta,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",Northern America,Americas,53945428,35.8885993,14.4476911,43.897683433510366,-100.08947125585888
2014,2014,Export,Malta,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",Northern Europe,Europe,23998,35.8885993,14.4476911,59.36075159783851,25.01346951967388
2014,2014,Export,Malta,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",South-eastern Asia,Asia,41618390,35.8885993,14.4476911,10.528384761701911,103.08333472012376
2014,2014,Export,Malta,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",Southern Europe,Europe,270989238,35.8885993,14.4476911,40.12399607988535,20.742583178432696
2014,2014,Export,Malta,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",Sub-Saharan Africa,Africa,53538122,35.8885993,14.4476911,6.06272746187266,22.727528470146083
2014,2014,Export,Malta,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",Western Asia,Asia,16121458,35.8885993,14.4476911,26.42921218083572,52.86847103284948
2014,2014,Export,Malta,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",Western Europe,Europe,92047177,35.8885993,14.4476911,47.92172048214207,7.866753258497997
2014,2014,Export,Malta,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",World,World,2139524271,35.8885993,14.4476911,,
