yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2002,2002,Import,Mauritania,30,Pharmaceutical products,Eastern Asia,Asia,27271,20.2540382,-9.2399263,37.977378106878206,73.97804075806764
2002,2002,Import,Mauritania,30,Pharmaceutical products,Eastern Europe,Europe,5061,20.2540382,-9.2399263,51.67568633314729,27.673469819741847
2002,2002,Import,Mauritania,30,Pharmaceutical products,Egypt,Egypt,29030,20.2540382,-9.2399263,,
2002,2002,Import,Mauritania,30,Pharmaceutical products,Latin America and the Caribbean,Americas,10348,20.2540382,-9.2399263,17.925141963241547,-78.01492950057497
2002,2002,Import,Mauritania,30,Pharmaceutical products,Northern America,Americas,17221,20.2540382,-9.2399263,43.897683433510366,-100.08947125585888
2002,2002,Import,Mauritania,30,Pharmaceutical products,Northern Europe,Europe,60980,20.2540382,-9.2399263,59.36075159783851,25.01346951967388
2002,2002,Import,Mauritania,30,Pharmaceutical products,Southern Europe,Europe,41671,20.2540382,-9.2399263,40.12399607988535,20.742583178432696
2002,2002,Import,Mauritania,30,Pharmaceutical products,Sub-Saharan Africa,Africa,20673,20.2540382,-9.2399263,6.06272746187266,22.727528470146083
2002,2002,Import,Mauritania,30,Pharmaceutical products,Tunisia,Tunisia,218,20.2540382,-9.2399263,,
2002,2002,Import,Mauritania,30,Pharmaceutical products,Western Europe,Europe,1290072,20.2540382,-9.2399263,47.92172048214207,7.866753258497997
2002,2002,Import,Mauritania,30,Pharmaceutical products,World,World,1629926,20.2540382,-9.2399263,,
2002,2002,Import,Mauritania,30,Pharmaceutical products,Algeria, Algeria,646,20.2540382,-9.2399263,,
2002,2002,Import,Mauritania,30,Pharmaceutical products,Jordan, Jordan,2257,20.2540382,-9.2399263,,
2002,2002,Import,Mauritania,30,Pharmaceutical products,Morocco, Morocco,39779,20.2540382,-9.2399263,,
2002,2002,Import,Mauritania,30,Pharmaceutical products,Pakistan, Pakistan,3059,20.2540382,-9.2399263,,
2002,2002,Import,Mauritania,30,Pharmaceutical products,Saudi Arabia, Saudi Arabia,361,20.2540382,-9.2399263,,
2002,2002,Import,Mauritania,30,Pharmaceutical products,United Arab Emirates, United Arab Emirates,23912,20.2540382,-9.2399263,,
