yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2012,2012,Import,Mauritania,20,"Preparations of vegetables, fruit, nuts or other parts of plants",Eastern Asia,Asia,986113,20.2540382,-9.2399263,37.977378106878206,73.97804075806764
2012,2012,Import,Mauritania,20,"Preparations of vegetables, fruit, nuts or other parts of plants",Egypt,Egypt,328142,20.2540382,-9.2399263,,
2012,2012,Import,Mauritania,20,"Preparations of vegetables, fruit, nuts or other parts of plants",Latin America and the Caribbean,Americas,4112,20.2540382,-9.2399263,17.925141963241547,-78.01492950057497
2012,2012,Import,Mauritania,20,"Preparations of vegetables, fruit, nuts or other parts of plants",Northern Africa,Africa,4112,20.2540382,-9.2399263,19.569604022535763,12.47761721199581
2012,2012,Import,Mauritania,20,"Preparations of vegetables, fruit, nuts or other parts of plants",South-eastern Asia,Asia,263206,20.2540382,-9.2399263,10.528384761701911,103.08333472012376
2012,2012,Import,Mauritania,20,"Preparations of vegetables, fruit, nuts or other parts of plants",Southern Asia,Asia,59211,20.2540382,-9.2399263,25.499703063807168,75.5024015339642
2012,2012,Import,Mauritania,20,"Preparations of vegetables, fruit, nuts or other parts of plants",Southern Europe,Europe,477519,20.2540382,-9.2399263,40.12399607988535,20.742583178432696
2012,2012,Import,Mauritania,20,"Preparations of vegetables, fruit, nuts or other parts of plants",Sub-Saharan Africa,Africa,42835,20.2540382,-9.2399263,6.06272746187266,22.727528470146083
2012,2012,Import,Mauritania,20,"Preparations of vegetables, fruit, nuts or other parts of plants",Tunisia,Tunisia,15402,20.2540382,-9.2399263,,
2012,2012,Import,Mauritania,20,"Preparations of vegetables, fruit, nuts or other parts of plants",Western Asia,Asia,159811,20.2540382,-9.2399263,26.42921218083572,52.86847103284948
2012,2012,Import,Mauritania,20,"Preparations of vegetables, fruit, nuts or other parts of plants",Western Europe,Europe,449317,20.2540382,-9.2399263,47.92172048214207,7.866753258497997
2012,2012,Import,Mauritania,20,"Preparations of vegetables, fruit, nuts or other parts of plants",World,World,3419694,20.2540382,-9.2399263,,
2012,2012,Import,Mauritania,20,"Preparations of vegetables, fruit, nuts or other parts of plants",Algeria, Algeria,16546,20.2540382,-9.2399263,,
2012,2012,Import,Mauritania,20,"Preparations of vegetables, fruit, nuts or other parts of plants",Cyprus, Cyprus,16447,20.2540382,-9.2399263,,
2012,2012,Import,Mauritania,20,"Preparations of vegetables, fruit, nuts or other parts of plants",Kuwait, Kuwait,400,20.2540382,-9.2399263,,
2012,2012,Import,Mauritania,20,"Preparations of vegetables, fruit, nuts or other parts of plants",Lebanon, Lebanon,8223,20.2540382,-9.2399263,,
2012,2012,Import,Mauritania,20,"Preparations of vegetables, fruit, nuts or other parts of plants",Morocco, Morocco,111444,20.2540382,-9.2399263,,
2012,2012,Import,Mauritania,20,"Preparations of vegetables, fruit, nuts or other parts of plants",Saudi Arabia, Saudi Arabia,238540,20.2540382,-9.2399263,,
2012,2012,Import,Mauritania,20,"Preparations of vegetables, fruit, nuts or other parts of plants",United Arab Emirates, United Arab Emirates,221869,20.2540382,-9.2399263,,
2012,2012,Import,Mauritania,20,"Preparations of vegetables, fruit, nuts or other parts of plants",Yemen, Yemen,16446,20.2540382,-9.2399263,,
