yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
1995,1995,Export,Morocco,58,"Special woven or tufted fabric, lace, tapestry etc",Australia and New Zealand,Oceania,26939,31.1728205,-7.3362482,-16.85099460447687,133.4130365630627
1995,1995,Export,Morocco,58,"Special woven or tufted fabric, lace, tapestry etc",Eastern Asia,Asia,1074760,31.1728205,-7.3362482,37.977378106878206,73.97804075806764
1995,1995,Export,Morocco,58,"Special woven or tufted fabric, lace, tapestry etc",Northern Africa,Africa,110620,31.1728205,-7.3362482,19.569604022535763,12.47761721199581
1995,1995,Export,Morocco,58,"Special woven or tufted fabric, lace, tapestry etc",Northern America,Americas,46980,31.1728205,-7.3362482,43.897683433510366,-100.08947125585888
1995,1995,Export,Morocco,58,"Special woven or tufted fabric, lace, tapestry etc",Northern Europe,Europe,75404,31.1728205,-7.3362482,59.36075159783851,25.01346951967388
1995,1995,Export,Morocco,58,"Special woven or tufted fabric, lace, tapestry etc",South-eastern Asia,Asia,64434,31.1728205,-7.3362482,10.528384761701911,103.08333472012376
1995,1995,Export,Morocco,58,"Special woven or tufted fabric, lace, tapestry etc",Southern Europe,Europe,1772473,31.1728205,-7.3362482,40.12399607988535,20.742583178432696
1995,1995,Export,Morocco,58,"Special woven or tufted fabric, lace, tapestry etc",Sub-Saharan Africa,Africa,1195797,31.1728205,-7.3362482,6.06272746187266,22.727528470146083
1995,1995,Export,Morocco,58,"Special woven or tufted fabric, lace, tapestry etc",Western Europe,Europe,1045534,31.1728205,-7.3362482,47.92172048214207,7.866753258497997
1995,1995,Export,Morocco,58,"Special woven or tufted fabric, lace, tapestry etc",World,World,17374236,31.1728205,-7.3362482,,
