yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
1996,1996,Import,Morocco,73,Articles of iron or steel,Australia and New Zealand,Oceania,2252,31.1728205,-7.3362482,-16.85099460447687,133.4130365630627
1996,1996,Import,Morocco,73,Articles of iron or steel,Eastern Asia,Asia,7807540,31.1728205,-7.3362482,37.977378106878206,73.97804075806764
1996,1996,Import,Morocco,73,Articles of iron or steel,Eastern Europe,Europe,3178969,31.1728205,-7.3362482,51.67568633314729,27.673469819741847
1996,1996,Import,Morocco,73,Articles of iron or steel,Latin America and the Caribbean,Americas,416455,31.1728205,-7.3362482,17.925141963241547,-78.01492950057497
1996,1996,Import,Morocco,73,Articles of iron or steel,Northern Africa,Africa,1365829,31.1728205,-7.3362482,19.569604022535763,12.47761721199581
1996,1996,Import,Morocco,73,Articles of iron or steel,Northern America,Americas,1824100,31.1728205,-7.3362482,43.897683433510366,-100.08947125585888
1996,1996,Import,Morocco,73,Articles of iron or steel,Northern Europe,Europe,3593050,31.1728205,-7.3362482,59.36075159783851,25.01346951967388
1996,1996,Import,Morocco,73,Articles of iron or steel,South-eastern Asia,Asia,849748,31.1728205,-7.3362482,10.528384761701911,103.08333472012376
1996,1996,Import,Morocco,73,Articles of iron or steel,Southern Europe,Europe,48758627,31.1728205,-7.3362482,40.12399607988535,20.742583178432696
1996,1996,Import,Morocco,73,Articles of iron or steel,Sub-Saharan Africa,Africa,375085,31.1728205,-7.3362482,6.06272746187266,22.727528470146083
1996,1996,Import,Morocco,73,Articles of iron or steel,Western Asia,Asia,7098085,31.1728205,-7.3362482,26.42921218083572,52.86847103284948
1996,1996,Import,Morocco,73,Articles of iron or steel,Western Europe,Europe,48195674,31.1728205,-7.3362482,47.92172048214207,7.866753258497997
1996,1996,Import,Morocco,73,Articles of iron or steel,World,World,132107832,31.1728205,-7.3362482,,
