yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2011,2011.0,Import,Morocco,World,71.0,"Natural or cultured pearls, precious or semi-precious stones",37978686.0,,31.1728205,-7.3362482,-36.8535712,174.7456809
2011,2011.0,Import,Morocco,Australia,71.0,"Natural or cultured pearls, precious or semi-precious stones",5515.0,,31.1728205,-7.3362482,-24.7761086,134.755
2011,2011.0,Import,Morocco,Austria,71.0,"Natural or cultured pearls, precious or semi-precious stones",714053.0,,31.1728205,-7.3362482,47.59397,14.12456
2011,2011.0,Import,Morocco,Bangladesh,71.0,"Natural or cultured pearls, precious or semi-precious stones",3736.0,,31.1728205,-7.3362482,24.4769288,90.2934413
2011,2011.0,Import,Morocco,Belgium,71.0,"Natural or cultured pearls, precious or semi-precious stones",1589217.0,,31.1728205,-7.3362482,50.6402809,4.6667145
2011,2011.0,Import,Morocco,Brazil,71.0,"Natural or cultured pearls, precious or semi-precious stones",6280.0,,31.1728205,-7.3362482,-10.3333333,-53.2
2011,2011.0,Import,Morocco,Bulgaria,71.0,"Natural or cultured pearls, precious or semi-precious stones",11897.0,,31.1728205,-7.3362482,42.6073975,25.4856617
2011,2011.0,Import,Morocco,Canada,71.0,"Natural or cultured pearls, precious or semi-precious stones",384.0,,31.1728205,-7.3362482,61.0666922,-107.991707
2011,2011.0,Import,Morocco,China,71.0,"Natural or cultured pearls, precious or semi-precious stones",7189217.0,,31.1728205,-7.3362482,35.000074,104.999927
2011,2011.0,Import,Morocco,Costa Rica,71.0,"Natural or cultured pearls, precious or semi-precious stones",5070.0,,31.1728205,-7.3362482,10.2735633,-84.0739102
2011,2011.0,Import,Morocco,Czechia,71.0,"Natural or cultured pearls, precious or semi-precious stones",8362.0,,31.1728205,-7.3362482,49.7439047,15.3381061
2011,2011.0,Import,Morocco,Denmark,71.0,"Natural or cultured pearls, precious or semi-precious stones",616.0,,31.1728205,-7.3362482,55.670249,10.3333283
2011,2011.0,Import,Morocco,France,71.0,"Natural or cultured pearls, precious or semi-precious stones",10324363.0,,31.1728205,-7.3362482,46.603354,1.8883335
2011,2011.0,Import,Morocco,Germany,71.0,"Natural or cultured pearls, precious or semi-precious stones",558627.0,,31.1728205,-7.3362482,51.1638175,10.4478313
2011,2011.0,Import,Morocco,"China, Hong Kong SAR",71.0,"Natural or cultured pearls, precious or semi-precious stones",482534.0,,31.1728205,-7.3362482,22.350627,114.1849161
2011,2011.0,Import,Morocco,Indonesia,71.0,"Natural or cultured pearls, precious or semi-precious stones",158588.0,,31.1728205,-7.3362482,-2.4833826,117.8902853
2011,2011.0,Import,Morocco,Ireland,71.0,"Natural or cultured pearls, precious or semi-precious stones",1.0,,31.1728205,-7.3362482,52.865196,-7.9794599
2011,2011.0,Import,Morocco,Italy,71.0,"Natural or cultured pearls, precious or semi-precious stones",4125605.0,,31.1728205,-7.3362482,42.6384261,12.674297
2011,2011.0,Import,Morocco,Japan,71.0,"Natural or cultured pearls, precious or semi-precious stones",38104.0,,31.1728205,-7.3362482,36.5748441,139.2394179
2011,2011.0,Import,Morocco,Rep. of Korea,71.0,"Natural or cultured pearls, precious or semi-precious stones",25784.0,,31.1728205,-7.3362482,,
2011,2011.0,Import,Morocco,Lebanon,71.0,"Natural or cultured pearls, precious or semi-precious stones",34383.0,,31.1728205,-7.3362482,33.8750629,35.843409
2011,2011.0,Import,Morocco,Lithuania,71.0,"Natural or cultured pearls, precious or semi-precious stones",641.0,,31.1728205,-7.3362482,55.3500003,23.7499997
2011,2011.0,Import,Morocco,Mauritius,71.0,"Natural or cultured pearls, precious or semi-precious stones",111572.0,,31.1728205,-7.3362482,-20.2759451,57.5703566
2011,2011.0,Import,Morocco,"Other Asia, nes",71.0,"Natural or cultured pearls, precious or semi-precious stones",4192.0,,31.1728205,-7.3362482,,
2011,2011.0,Import,Morocco,Nepal,71.0,"Natural or cultured pearls, precious or semi-precious stones",1934.0,,31.1728205,-7.3362482,28.1083929,84.0917139
2011,2011.0,Import,Morocco,Netherlands,71.0,"Natural or cultured pearls, precious or semi-precious stones",382.0,,31.1728205,-7.3362482,52.2434979,5.6343227
2011,2011.0,Import,Morocco,Pakistan,71.0,"Natural or cultured pearls, precious or semi-precious stones",241.0,,31.1728205,-7.3362482,30.3308401,71.247499
2011,2011.0,Import,Morocco,Philippines,71.0,"Natural or cultured pearls, precious or semi-precious stones",2375.0,,31.1728205,-7.3362482,12.7503486,122.7312101
2011,2011.0,Import,Morocco,Portugal,71.0,"Natural or cultured pearls, precious or semi-precious stones",119732.0,,31.1728205,-7.3362482,39.6621648,-8.1353519
2011,2011.0,Import,Morocco,Romania,71.0,"Natural or cultured pearls, precious or semi-precious stones",8761.0,,31.1728205,-7.3362482,45.9852129,24.6859225
2011,2011.0,Import,Morocco,Saudi Arabia,71.0,"Natural or cultured pearls, precious or semi-precious stones",220.0,,31.1728205,-7.3362482,25.6242618,42.3528328
