yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2021,2021,Import,Morocco,64,Footwear; gaiters and the like; parts of such articles,Australia and New Zealand,Oceania,611,31.17,-7.33,-16.85099460447687,133.4130365630627
2021,2021,Import,Morocco,64,Footwear; gaiters and the like; parts of such articles,Eastern Asia,Asia,136339495,31.17,-7.33,37.977378106878206,73.97804075806764
2021,2021,Import,Morocco,64,Footwear; gaiters and the like; parts of such articles,Eastern Europe,Europe,5115844,31.17,-7.33,51.67568633314729,27.673469819741847
2021,2021,Import,Morocco,64,Footwear; gaiters and the like; parts of such articles,Egypt,Egypt,16435,31.17,-7.33,,
2021,2021,Import,Morocco,64,Footwear; gaiters and the like; parts of such articles,Latin America and the Caribbean,Americas,1452268,31.17,-7.33,17.925141963241547,-78.01492950057497
2021,2021,Import,Morocco,64,Footwear; gaiters and the like; parts of such articles,Northern America,Americas,86911,31.17,-7.33,43.897683433510366,-100.08947125585888
2021,2021,Import,Morocco,64,Footwear; gaiters and the like; parts of such articles,Northern Europe,Europe,45459,31.17,-7.33,59.36075159783851,25.01346951967388
2021,2021,Import,Morocco,64,Footwear; gaiters and the like; parts of such articles,South-eastern Asia,Asia,55893929,31.17,-7.33,10.528384761701911,103.08333472012376
2021,2021,Import,Morocco,64,Footwear; gaiters and the like; parts of such articles,Southern Asia,Asia,5968539,31.17,-7.33,25.499703063807168,75.5024015339642
2021,2021,Import,Morocco,64,Footwear; gaiters and the like; parts of such articles,Southern Europe,Europe,47928418,31.17,-7.33,40.12399607988535,20.742583178432696
2021,2021,Import,Morocco,64,Footwear; gaiters and the like; parts of such articles,Sub-Saharan Africa,Africa,21578,31.17,-7.33,6.06272746187266,22.727528470146083
2021,2021,Import,Morocco,64,Footwear; gaiters and the like; parts of such articles,Tunisia,Tunisia,315327,31.17,-7.33,,
2021,2021,Import,Morocco,64,Footwear; gaiters and the like; parts of such articles,Western Asia,Asia,26537900,31.17,-7.33,26.42921218083572,52.86847103284948
2021,2021,Import,Morocco,64,Footwear; gaiters and the like; parts of such articles,Western Europe,Europe,6756000,31.17,-7.33,47.92172048214207,7.866753258497997
2021,2021,Import,Morocco,64,Footwear; gaiters and the like; parts of such articles,World,World,288303200,31.17,-7.33,,
2021,2021,Import,Morocco,64,Footwear; gaiters and the like; parts of such articles,Afghanistan, Afghanistan,34,31.17,-7.33,,
2021,2021,Import,Morocco,64,Footwear; gaiters and the like; parts of such articles,Algeria, Algeria,8170,31.17,-7.33,,
2021,2021,Import,Morocco,64,Footwear; gaiters and the like; parts of such articles,Bahrain, Bahrain,3733,31.17,-7.33,,
2021,2021,Import,Morocco,64,Footwear; gaiters and the like; parts of such articles,Cyprus, Cyprus,90,31.17,-7.33,,
2021,2021,Import,Morocco,64,Footwear; gaiters and the like; parts of such articles,Jordan, Jordan,147696,31.17,-7.33,,
2021,2021,Import,Morocco,64,Footwear; gaiters and the like; parts of such articles,Kuwait, Kuwait,1651,31.17,-7.33,,
2021,2021,Import,Morocco,64,Footwear; gaiters and the like; parts of such articles,Oman, Oman,87609,31.17,-7.33,,
2021,2021,Import,Morocco,64,Footwear; gaiters and the like; parts of such articles,Pakistan, Pakistan,33482,31.17,-7.33,,
2021,2021,Import,Morocco,64,Footwear; gaiters and the like; parts of such articles,Qatar, Qatar,423,31.17,-7.33,,
2021,2021,Import,Morocco,64,Footwear; gaiters and the like; parts of such articles,Saudi Arabia, Saudi Arabia,3594,31.17,-7.33,,
2021,2021,Import,Morocco,64,Footwear; gaiters and the like; parts of such articles,United Arab Emirates, United Arab Emirates,48871,31.17,-7.33,,
