yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2001,2001,Export,Oman,33,"Essential oils, perfumes, cosmetics, toileteries",Eastern Asia,Asia,1051,21.0000287,57.0036901,37.977378106878206,73.97804075806764
2001,2001,Export,Oman,33,"Essential oils, perfumes, cosmetics, toileteries",Eastern Europe,Europe,1560,21.0000287,57.0036901,51.67568633314729,27.673469819741847
2001,2001,Export,Oman,33,"Essential oils, perfumes, cosmetics, toileteries",Northern Europe,Europe,26546,21.0000287,57.0036901,59.36075159783851,25.01346951967388
2001,2001,Export,Oman,33,"Essential oils, perfumes, cosmetics, toileteries",Southern Asia,Asia,4493349,21.0000287,57.0036901,25.499703063807168,75.5024015339642
2001,2001,Export,Oman,33,"Essential oils, perfumes, cosmetics, toileteries",Southern Europe,Europe,1501,21.0000287,57.0036901,40.12399607988535,20.742583178432696
2001,2001,Export,Oman,33,"Essential oils, perfumes, cosmetics, toileteries",Sub-Saharan Africa,Africa,20015,21.0000287,57.0036901,6.06272746187266,22.727528470146083
2001,2001,Export,Oman,33,"Essential oils, perfumes, cosmetics, toileteries",Western Asia,Asia,15566,21.0000287,57.0036901,26.42921218083572,52.86847103284948
2001,2001,Export,Oman,33,"Essential oils, perfumes, cosmetics, toileteries",Western Europe,Europe,119503,21.0000287,57.0036901,47.92172048214207,7.866753258497997
2001,2001,Export,Oman,33,"Essential oils, perfumes, cosmetics, toileteries",World,World,13770740,21.0000287,57.0036901,,
2001,2001,Export,Oman,33,"Essential oils, perfumes, cosmetics, toileteries",Bahrain, Bahrain,198276,21.0000287,57.0036901,,
2001,2001,Export,Oman,33,"Essential oils, perfumes, cosmetics, toileteries",Jordan, Jordan,18939,21.0000287,57.0036901,,
2001,2001,Export,Oman,33,"Essential oils, perfumes, cosmetics, toileteries",Kuwait, Kuwait,188801,21.0000287,57.0036901,,
2001,2001,Export,Oman,33,"Essential oils, perfumes, cosmetics, toileteries",Mauritania, Mauritania,34130,21.0000287,57.0036901,,
2001,2001,Export,Oman,33,"Essential oils, perfumes, cosmetics, toileteries",Pakistan, Pakistan,26635,21.0000287,57.0036901,,
2001,2001,Export,Oman,33,"Essential oils, perfumes, cosmetics, toileteries",Qatar, Qatar,67709,21.0000287,57.0036901,,
2001,2001,Export,Oman,33,"Essential oils, perfumes, cosmetics, toileteries",Saudi Arabia, Saudi Arabia,348127,21.0000287,57.0036901,,
2001,2001,Export,Oman,33,"Essential oils, perfumes, cosmetics, toileteries",United Arab Emirates, United Arab Emirates,8205630,21.0000287,57.0036901,,
2001,2001,Export,Oman,33,"Essential oils, perfumes, cosmetics, toileteries",Yemen, Yemen,187,21.0000287,57.0036901,,
