yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2001,2001,Import,Oman,44,"Wood and articles of wood, wood charcoal",Australia and New Zealand,Oceania,709121,21.0000287,57.0036901,-16.85099460447687,133.4130365630627
2001,2001,Import,Oman,44,"Wood and articles of wood, wood charcoal",Eastern Asia,Asia,617102,21.0000287,57.0036901,37.977378106878206,73.97804075806764
2001,2001,Import,Oman,44,"Wood and articles of wood, wood charcoal",Eastern Europe,Europe,297027,21.0000287,57.0036901,51.67568633314729,27.673469819741847
2001,2001,Import,Oman,44,"Wood and articles of wood, wood charcoal",Egypt,Egypt,20952,21.0000287,57.0036901,,
2001,2001,Import,Oman,44,"Wood and articles of wood, wood charcoal",Latin America and the Caribbean,Americas,3220387,21.0000287,57.0036901,17.925141963241547,-78.01492950057497
2001,2001,Import,Oman,44,"Wood and articles of wood, wood charcoal",Micronesia,Oceania,46213,21.0000287,57.0036901,6.418559504495792,157.6364476938912
2001,2001,Import,Oman,44,"Wood and articles of wood, wood charcoal",Northern America,Americas,797113,21.0000287,57.0036901,43.897683433510366,-100.08947125585888
2001,2001,Import,Oman,44,"Wood and articles of wood, wood charcoal",Northern Europe,Europe,3853240,21.0000287,57.0036901,59.36075159783851,25.01346951967388
2001,2001,Import,Oman,44,"Wood and articles of wood, wood charcoal",South-eastern Asia,Asia,23864362,21.0000287,57.0036901,10.528384761701911,103.08333472012376
2001,2001,Import,Oman,44,"Wood and articles of wood, wood charcoal",Southern Asia,Asia,101795,21.0000287,57.0036901,25.499703063807168,75.5024015339642
2001,2001,Import,Oman,44,"Wood and articles of wood, wood charcoal",Southern Europe,Europe,785942,21.0000287,57.0036901,40.12399607988535,20.742583178432696
2001,2001,Import,Oman,44,"Wood and articles of wood, wood charcoal",Sub-Saharan Africa,Africa,205124,21.0000287,57.0036901,6.06272746187266,22.727528470146083
2001,2001,Import,Oman,44,"Wood and articles of wood, wood charcoal",Tunisia,Tunisia,11914,21.0000287,57.0036901,,
2001,2001,Import,Oman,44,"Wood and articles of wood, wood charcoal",Western Asia,Asia,2838291,21.0000287,57.0036901,26.42921218083572,52.86847103284948
2001,2001,Import,Oman,44,"Wood and articles of wood, wood charcoal",Western Europe,Europe,851946,21.0000287,57.0036901,47.92172048214207,7.866753258497997
2001,2001,Import,Oman,44,"Wood and articles of wood, wood charcoal",World,World,60156923,21.0000287,57.0036901,,
2001,2001,Import,Oman,44,"Wood and articles of wood, wood charcoal", Armenia, Armenia,89014,21.0000287,57.0036901,,
2001,2001,Import,Oman,44,"Wood and articles of wood, wood charcoal", Bahrain, Bahrain,24343,21.0000287,57.0036901,,
2001,2001,Import,Oman,44,"Wood and articles of wood, wood charcoal", Jordan, Jordan,151,21.0000287,57.0036901,,
2001,2001,Import,Oman,44,"Wood and articles of wood, wood charcoal", Kuwait, Kuwait,3046,21.0000287,57.0036901,,
2001,2001,Import,Oman,44,"Wood and articles of wood, wood charcoal", Lebanon, Lebanon,77930,21.0000287,57.0036901,,
2001,2001,Import,Oman,44,"Wood and articles of wood, wood charcoal", Morocco, Morocco,965,21.0000287,57.0036901,,
2001,2001,Import,Oman,44,"Wood and articles of wood, wood charcoal", Pakistan, Pakistan,73053,21.0000287,57.0036901,,
2001,2001,Import,Oman,44,"Wood and articles of wood, wood charcoal", Qatar, Qatar,20983,21.0000287,57.0036901,,
2001,2001,Import,Oman,44,"Wood and articles of wood, wood charcoal", Saudi Arabia, Saudi Arabia,306749,21.0000287,57.0036901,,
2001,2001,Import,Oman,44,"Wood and articles of wood, wood charcoal", United Arab Emirates, United Arab Emirates,18178082,21.0000287,57.0036901,,
2001,2001,Import,Oman,44,"Wood and articles of wood, wood charcoal", Yemen, Yemen,28133,21.0000287,57.0036901,,
