yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2002,2002.0,Export,Oman,World,33.0,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",16241454.0,,21.0000287,57.0036901,-36.8535712,174.7456809
2002,2002.0,Export,Oman,Bahrain,33.0,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",211263.0,,21.0000287,57.0036901,26.1551249,50.5344606
2002,2002.0,Export,Oman,Canada,33.0,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",806.0,,21.0000287,57.0036901,61.0666922,-107.991707
2002,2002.0,Export,Oman,France,33.0,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",150540.0,,21.0000287,57.0036901,46.603354,1.8883335
2002,2002.0,Export,Oman,Indonesia,33.0,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",29727.0,,21.0000287,57.0036901,-2.4833826,117.8902853
2002,2002.0,Export,Oman,Iran,33.0,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",5624188.0,,21.0000287,57.0036901,32.6475314,54.5643516
2002,2002.0,Export,Oman,Japan,33.0,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",177.0,,21.0000287,57.0036901,36.5748441,139.2394179
2002,2002.0,Export,Oman,Jordan,33.0,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",7927.0,,21.0000287,57.0036901,31.1667049,36.941628
2002,2002.0,Export,Oman,Kenya,33.0,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",848.0,,21.0000287,57.0036901,1.4419683,38.4313975
2002,2002.0,Export,Oman,Kuwait,33.0,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",112294.0,,21.0000287,57.0036901,29.2733964,47.4979476
2002,2002.0,Export,Oman,Lebanon,33.0,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",5202.0,,21.0000287,57.0036901,33.8750629,35.843409
2002,2002.0,Export,Oman,Maldives,33.0,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",15860.0,,21.0000287,57.0036901,3.7203503,73.2244152
2002,2002.0,Export,Oman,Pakistan,33.0,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",56145.0,,21.0000287,57.0036901,30.3308401,71.247499
2002,2002.0,Export,Oman,Qatar,33.0,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",57680.0,,21.0000287,57.0036901,25.3336984,51.2295295
2002,2002.0,Export,Oman,Saudi Arabia,33.0,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",392274.0,,21.0000287,57.0036901,25.6242618,42.3528328
2002,2002.0,Export,Oman,Spain,33.0,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",330.0,,21.0000287,57.0036901,39.3260685,-4.8379791
2002,2002.0,Export,Oman,Fmr Sudan,33.0,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",28723.0,,21.0000287,57.0036901,18.046398,34.41288
2002,2002.0,Export,Oman,United Arab Emirates,33.0,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",9400298.0,,21.0000287,57.0036901,24.0002488,53.9994829
2002,2002.0,Export,Oman,United Kingdom,33.0,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",93714.0,,21.0000287,57.0036901,54.7023545,-3.2765753
2002,2002.0,Export,Oman,Yemen,33.0,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",53459.0,,21.0000287,57.0036901,16.3471243,47.8915271
