yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2008,2008,Import,Oman,11,Products of the milling industry; malt; starches; inulin,Eastern Asia,Asia,169423,21.0000287,57.0036901,37.977378106878206,73.97804075806764
2008,2008,Import,Oman,11,Products of the milling industry; malt; starches; inulin,Eastern Europe,Europe,1024245,21.0000287,57.0036901,51.67568633314729,27.673469819741847
2008,2008,Import,Oman,11,Products of the milling industry; malt; starches; inulin,Egypt,Egypt,105958,21.0000287,57.0036901,,
2008,2008,Import,Oman,11,Products of the milling industry; malt; starches; inulin,Latin America and the Caribbean,Americas,28112,21.0000287,57.0036901,17.925141963241547,-78.01492950057497
2008,2008,Import,Oman,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,783909,21.0000287,57.0036901,43.897683433510366,-100.08947125585888
2008,2008,Import,Oman,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,475615,21.0000287,57.0036901,59.36075159783851,25.01346951967388
2008,2008,Import,Oman,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,1115915,21.0000287,57.0036901,10.528384761701911,103.08333472012376
2008,2008,Import,Oman,11,Products of the milling industry; malt; starches; inulin,Southern Asia,Asia,14294,21.0000287,57.0036901,25.499703063807168,75.5024015339642
2008,2008,Import,Oman,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,2654872,21.0000287,57.0036901,40.12399607988535,20.742583178432696
2008,2008,Import,Oman,11,Products of the milling industry; malt; starches; inulin,Sub-Saharan Africa,Africa,4570,21.0000287,57.0036901,6.06272746187266,22.727528470146083
2008,2008,Import,Oman,11,Products of the milling industry; malt; starches; inulin,Western Asia,Asia,278333,21.0000287,57.0036901,26.42921218083572,52.86847103284948
2008,2008,Import,Oman,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,1664691,21.0000287,57.0036901,47.92172048214207,7.866753258497997
2008,2008,Import,Oman,11,Products of the milling industry; malt; starches; inulin,World,World,21947301,21.0000287,57.0036901,,
2008,2008,Import,Oman,11,Products of the milling industry; malt; starches; inulin, Cyprus, Cyprus,250380,21.0000287,57.0036901,,
2008,2008,Import,Oman,11,Products of the milling industry; malt; starches; inulin, Lebanon, Lebanon,2747039,21.0000287,57.0036901,,
2008,2008,Import,Oman,11,Products of the milling industry; malt; starches; inulin, Malta, Malta,32887,21.0000287,57.0036901,,
2008,2008,Import,Oman,11,Products of the milling industry; malt; starches; inulin, Pakistan, Pakistan,22661,21.0000287,57.0036901,,
2008,2008,Import,Oman,11,Products of the milling industry; malt; starches; inulin, Saudi Arabia, Saudi Arabia,390,21.0000287,57.0036901,,
2008,2008,Import,Oman,11,Products of the milling industry; malt; starches; inulin, United Arab Emirates, United Arab Emirates,5766994,21.0000287,57.0036901,,
