yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2016,2016,Export,Oman,World,69,Ceramic products,48764245,,,-36.8535712,174.7456809
2016,2016,Export,Oman,Australia,69,Ceramic products,3784,,,-24.7761086,134.755
2016,2016,Export,Oman,Bahrain,69,Ceramic products,703141,,,26.1551249,50.5344606
2016,2016,Export,Oman,Czechia,69,Ceramic products,790,,,,
2016,2016,Export,Oman,Djibouti,69,Ceramic products,103511,,,11.8145966,42.8453061
2016,2016,Export,Oman,Germany,69,Ceramic products,28704,,,51.1638175,10.4478313
2016,2016,Export,Oman,Ghana,69,Ceramic products,7206,,,8.0300284,-1.0800271
2016,2016,Export,Oman,Iran,69,Ceramic products,49,,,32.6475314,54.5643516
2016,2016,Export,Oman,Jordan,69,Ceramic products,3341913,,,31.1667049,36.941628
2016,2016,Export,Oman,Rep. of Korea,69,Ceramic products,28957,,,,
2016,2016,Export,Oman,Kuwait,69,Ceramic products,53526,,,29.2733964,47.4979476
2016,2016,Export,Oman,Lebanon,69,Ceramic products,43175,,,33.8750629,35.843409
2016,2016,Export,Oman,Luxembourg,69,Ceramic products,3141,,,,
2016,2016,Export,Oman,Nigeria,69,Ceramic products,42912,,,9.6000359,7.9999721
2016,2016,Export,Oman,Pakistan,69,Ceramic products,356054,,,30.3308401,71.247499
2016,2016,Export,Oman,Qatar,69,Ceramic products,1376764,,,25.3336984,51.2295295
2016,2016,Export,Oman,Saudi Arabia,69,Ceramic products,17555574,,,25.6242618,42.3528328
2016,2016,Export,Oman,India,69,Ceramic products,784621,,,22.3511148,78.6677428
2016,2016,Export,Oman,Singapore,69,Ceramic products,14928,,,1.357107,103.8194992
2016,2016,Export,Oman,Viet Nam,69,Ceramic products,19224,,,15.9266657,107.9650855
2016,2016,Export,Oman,Somalia,69,Ceramic products,4241549,,,8.3676771,49.083416
2016,2016,Export,Oman,Sudan,69,Ceramic products,6769,,,14.5844444,29.4917691
2016,2016,Export,Oman,United Arab Emirates,69,Ceramic products,15360180,,,24.0002488,53.9994829
2016,2016,Export,Oman,United Rep. of Tanzania,69,Ceramic products,26384,,,,
2016,2016,Export,Oman,USA,69,Ceramic products,134288,,,,
2016,2016,Export,Oman,Venezuela,69,Ceramic products,807536,,,8.0018709,-66.1109318
2016,2016,Export,Oman,"Areas, nes",69,Ceramic products,3719549,,,,
