yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2021,2021,Import,Oman,World,29,Organic chemicals,851175853,,,-36.8535712,174.7456809
2021,2021,Import,Oman,Australia,29,Organic chemicals,324694,,,-24.7761086,134.755
2021,2021,Import,Oman,Bahrain,29,Organic chemicals,157768,,,26.1551249,50.5344606
2021,2021,Import,Oman,Bangladesh,29,Organic chemicals,9880,,,24.4769288,90.2934413
2021,2021,Import,Oman,Belgium,29,Organic chemicals,3775388,,,50.6402809,4.6667145
2021,2021,Import,Oman,Brazil,29,Organic chemicals,35511,,,-10.3333333,-53.2
2021,2021,Import,Oman,Canada,29,Organic chemicals,196200,,,61.0666922,-107.991707
2021,2021,Import,Oman,Sri Lanka,29,Organic chemicals,4173630,,,7.5554942,80.7137847
2021,2021,Import,Oman,China,29,Organic chemicals,204593482,,,35.000074,104.999927
2021,2021,Import,Oman,Colombia,29,Organic chemicals,736,,,4.099917,-72.9088133
2021,2021,Import,Oman,Cyprus,29,Organic chemicals,30840,,,34.9823018,33.1451285
2021,2021,Import,Oman,Ethiopia,29,Organic chemicals,499,,,10.2116702,38.6521203
2021,2021,Import,Oman,France,29,Organic chemicals,756853,,,46.603354,1.8883335
2021,2021,Import,Oman,Djibouti,29,Organic chemicals,15092,,,11.8145966,42.8453061
2021,2021,Import,Oman,Germany,29,Organic chemicals,800400,,,51.1638175,10.4478313
2021,2021,Import,Oman,Greece,29,Organic chemicals,349742,,,38.9953683,21.9877132
2021,2021,Import,Oman,"China, Hong Kong SAR",29,Organic chemicals,140556,,,22.350627,114.1849161
2021,2021,Import,Oman,Indonesia,29,Organic chemicals,658996,,,-2.4833826,117.8902853
2021,2021,Import,Oman,Iran,29,Organic chemicals,25032,,,32.6475314,54.5643516
2021,2021,Import,Oman,Italy,29,Organic chemicals,374652,,,42.6384261,12.674297
2021,2021,Import,Oman,Japan,29,Organic chemicals,1548114,,,36.5748441,139.2394179
2021,2021,Import,Oman,Jordan,29,Organic chemicals,1159,,,31.1667049,36.941628
2021,2021,Import,Oman,Rep. of Korea,29,Organic chemicals,48101612,,,,
2021,2021,Import,Oman,Kuwait,29,Organic chemicals,85201760,,,29.2733964,47.4979476
2021,2021,Import,Oman,Lebanon,29,Organic chemicals,282496,,,33.8750629,35.843409
2021,2021,Import,Oman,Luxembourg,29,Organic chemicals,102293,,,,
2021,2021,Import,Oman,Malaysia,29,Organic chemicals,81115289,,,4.5693754,102.2656823
2021,2021,Import,Oman,Mexico,29,Organic chemicals,3490,,,23.6585116,-102.0077097
2021,2021,Import,Oman,"Other Asia, nes",29,Organic chemicals,8506247,,,,
2021,2021,Import,Oman,Netherlands,29,Organic chemicals,11122803,,,52.2434979,5.6343227
2021,2021,Import,Oman,New Zealand,29,Organic chemicals,46205,,,-41.5000831,172.8344077
2021,2021,Import,Oman,Peru,29,Organic chemicals,1747,,,-6.8699697,-75.0458515
2021,2021,Import,Oman,Philippines,29,Organic chemicals,221,,,12.7503486,122.7312101
2021,2021,Import,Oman,Poland,29,Organic chemicals,31453,,,52.215933,19.134422
2021,2021,Import,Oman,Qatar,29,Organic chemicals,51276473,,,25.3336984,51.2295295
2021,2021,Import,Oman,Romania,29,Organic chemicals,45068,,,45.9852129,24.6859225
2021,2021,Import,Oman,Russian Federation,29,Organic chemicals,50811,,,64.6863136,97.7453061
2021,2021,Import,Oman,Saudi Arabia,29,Organic chemicals,95068665,,,25.6242618,42.3528328
2021,2021,Import,Oman,India,29,Organic chemicals,55227711,,,22.3511148,78.6677428
2021,2021,Import,Oman,Viet Nam,29,Organic chemicals,137045,,,15.9266657,107.9650855
2021,2021,Import,Oman,South Africa,29,Organic chemicals,410,,,-28.8166236,24.991639
2021,2021,Import,Oman,Spain,29,Organic chemicals,12361929,,,39.3260685,-4.8379791
2021,2021,Import,Oman,Sweden,29,Organic chemicals,20,,,59.6749712,14.5208584
2021,2021,Import,Oman,Syria,29,Organic chemicals,1791,,,34.6401861,39.0494106
2021,2021,Import,Oman,Thailand,29,Organic chemicals,112893068,,,14.8971921,100.83273
2021,2021,Import,Oman,United Arab Emirates,29,Organic chemicals,65372197,,,24.0002488,53.9994829
2021,2021,Import,Oman,Turkey,29,Organic chemicals,2821888,,,38.9597594,34.9249653
2021,2021,Import,Oman,Egypt,29,Organic chemicals,1598899,,,26.2540493,29.2675469
2021,2021,Import,Oman,United Kingdom,29,Organic chemicals,1147162,,,54.7023545,-3.2765753
2021,2021,Import,Oman,Free Zones,29,Organic chemicals,15773,,,,
2021,2021,Import,Oman,USA,29,Organic chemicals,672078,,,,
