yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2021,2021,Re-Export,Oman,World,35,Albuminoidal substances; modified starches; glues; enzymes,1723014,,,-36.8535712,174.7456809
2021,2021,Re-Export,Oman,Algeria,35,Albuminoidal substances; modified starches; glues; enzymes,10013,,,28.0000272,2.9999825
2021,2021,Re-Export,Oman,Australia,35,Albuminoidal substances; modified starches; glues; enzymes,14039,,,-24.7761086,134.755
2021,2021,Re-Export,Oman,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,933,,,26.1551249,50.5344606
2021,2021,Re-Export,Oman,Bangladesh,35,Albuminoidal substances; modified starches; glues; enzymes,5357,,,24.4769288,90.2934413
2021,2021,Re-Export,Oman,Belgium,35,Albuminoidal substances; modified starches; glues; enzymes,465,,,50.6402809,4.6667145
2021,2021,Re-Export,Oman,Ecuador,35,Albuminoidal substances; modified starches; glues; enzymes,174,,,-1.3397668,-79.3666965
2021,2021,Re-Export,Oman,Ghana,35,Albuminoidal substances; modified starches; glues; enzymes,902,,,8.0300284,-1.0800271
2021,2021,Re-Export,Oman,"China, Hong Kong SAR",35,Albuminoidal substances; modified starches; glues; enzymes,2897,,,22.350627,114.1849161
2021,2021,Re-Export,Oman,Indonesia,35,Albuminoidal substances; modified starches; glues; enzymes,12262,,,-2.4833826,117.8902853
2021,2021,Re-Export,Oman,Iran,35,Albuminoidal substances; modified starches; glues; enzymes,184988,,,32.6475314,54.5643516
2021,2021,Re-Export,Oman,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,24270,,,33.8750629,35.843409
2021,2021,Re-Export,Oman,Malaysia,35,Albuminoidal substances; modified starches; glues; enzymes,585,,,4.5693754,102.2656823
2021,2021,Re-Export,Oman,Netherlands,35,Albuminoidal substances; modified starches; glues; enzymes,410,,,52.2434979,5.6343227
2021,2021,Re-Export,Oman,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,972,,,30.3308401,71.247499
2021,2021,Re-Export,Oman,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes,625040,,,25.3336984,51.2295295
2021,2021,Re-Export,Oman,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,62260,,,25.6242618,42.3528328
2021,2021,Re-Export,Oman,India,35,Albuminoidal substances; modified starches; glues; enzymes,306,,,22.3511148,78.6677428
2021,2021,Re-Export,Oman,Singapore,35,Albuminoidal substances; modified starches; glues; enzymes,20837,,,1.357107,103.8194992
2021,2021,Re-Export,Oman,Somalia,35,Albuminoidal substances; modified starches; glues; enzymes,44897,,,8.3676771,49.083416
2021,2021,Re-Export,Oman,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,4169,,,34.6401861,39.0494106
2021,2021,Re-Export,Oman,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,291927,,,24.0002488,53.9994829
2021,2021,Re-Export,Oman,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes,44746,,,38.9597594,34.9249653
2021,2021,Re-Export,Oman,Egypt,35,Albuminoidal substances; modified starches; glues; enzymes,228,,,26.2540493,29.2675469
2021,2021,Re-Export,Oman,United Kingdom,35,Albuminoidal substances; modified starches; glues; enzymes,293,,,54.7023545,-3.2765753
2021,2021,Re-Export,Oman,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,370033,,,16.3471243,47.8915271
