yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2012,2012,Import,Pakistan,17,Sugars and sugar confectionery,Australia and New Zealand,Oceania,1744283,30.3308401,71.247499,-16.85099460447687,133.4130365630627
2012,2012,Import,Pakistan,17,Sugars and sugar confectionery,Eastern Asia,Asia,7393790,30.3308401,71.247499,37.977378106878206,73.97804075806764
2012,2012,Import,Pakistan,17,Sugars and sugar confectionery,Eastern Europe,Europe,365750,30.3308401,71.247499,51.67568633314729,27.673469819741847
2012,2012,Import,Pakistan,17,Sugars and sugar confectionery,Egypt,Egypt,2287,30.3308401,71.247499,,
2012,2012,Import,Pakistan,17,Sugars and sugar confectionery,Latin America and the Caribbean,Americas,147808,30.3308401,71.247499,17.925141963241547,-78.01492950057497
2012,2012,Import,Pakistan,17,Sugars and sugar confectionery,Northern America,Americas,1631252,30.3308401,71.247499,43.897683433510366,-100.08947125585888
2012,2012,Import,Pakistan,17,Sugars and sugar confectionery,Northern Europe,Europe,518107,30.3308401,71.247499,59.36075159783851,25.01346951967388
2012,2012,Import,Pakistan,17,Sugars and sugar confectionery,South-eastern Asia,Asia,5543531,30.3308401,71.247499,10.528384761701911,103.08333472012376
2012,2012,Import,Pakistan,17,Sugars and sugar confectionery,Southern Asia,Asia,415644,30.3308401,71.247499,25.499703063807168,75.5024015339642
2012,2012,Import,Pakistan,17,Sugars and sugar confectionery,Southern Europe,Europe,212548,30.3308401,71.247499,40.12399607988535,20.742583178432696
2012,2012,Import,Pakistan,17,Sugars and sugar confectionery,Western Asia,Asia,126847,30.3308401,71.247499,26.42921218083572,52.86847103284948
2012,2012,Import,Pakistan,17,Sugars and sugar confectionery,Western Europe,Europe,8101160,30.3308401,71.247499,47.92172048214207,7.866753258497997
2012,2012,Import,Pakistan,17,Sugars and sugar confectionery,World,World,29082110,30.3308401,71.247499,,
2012,2012,Import,Pakistan,17,Sugars and sugar confectionery, Kuwait, Kuwait,23072,30.3308401,71.247499,,
2012,2012,Import,Pakistan,17,Sugars and sugar confectionery, Oman, Oman,180258,30.3308401,71.247499,,
2012,2012,Import,Pakistan,17,Sugars and sugar confectionery, Saudi Arabia, Saudi Arabia,828952,30.3308401,71.247499,,
2012,2012,Import,Pakistan,17,Sugars and sugar confectionery, United Arab Emirates, United Arab Emirates,1389773,30.3308401,71.247499,,
