yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2013,2013,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Central Asia,Asia,1837079,30.3308401,71.247499,39.89317229901691,61.060280637304274
2013,2013,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Europe,Europe,1433899,30.3308401,71.247499,51.67568633314729,27.673469819741847
2013,2013,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Latin America and the Caribbean,Americas,90211,30.3308401,71.247499,17.925141963241547,-78.01492950057497
2013,2013,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern Africa,Africa,2324179,30.3308401,71.247499,19.569604022535763,12.47761721199581
2013,2013,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern America,Americas,20079,30.3308401,71.247499,43.897683433510366,-100.08947125585888
2013,2013,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,South-eastern Asia,Asia,84252,30.3308401,71.247499,10.528384761701911,103.08333472012376
2013,2013,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Southern Asia,Asia,89531,30.3308401,71.247499,25.499703063807168,75.5024015339642
2013,2013,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Southern Europe,Europe,110697,30.3308401,71.247499,40.12399607988535,20.742583178432696
2013,2013,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Sub-Saharan Africa,Africa,9012187,30.3308401,71.247499,6.06272746187266,22.727528470146083
2013,2013,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Europe,Europe,22884,30.3308401,71.247499,47.92172048214207,7.866753258497997
2013,2013,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,World,World,25465396,30.3308401,71.247499,,
