yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2014,2014,Export,Pakistan,92,Musical instruments; parts and accessories of such articles,Australia and New Zealand,Oceania,41522,30.3308401,71.247499,-16.85099460447687,133.4130365630627
2014,2014,Export,Pakistan,92,Musical instruments; parts and accessories of such articles,Eastern Asia,Asia,91987,30.3308401,71.247499,37.977378106878206,73.97804075806764
2014,2014,Export,Pakistan,92,Musical instruments; parts and accessories of such articles,Eastern Europe,Europe,4029,30.3308401,71.247499,51.67568633314729,27.673469819741847
2014,2014,Export,Pakistan,92,Musical instruments; parts and accessories of such articles,Latin America and the Caribbean,Americas,1074,30.3308401,71.247499,17.925141963241547,-78.01492950057497
2014,2014,Export,Pakistan,92,Musical instruments; parts and accessories of such articles,Northern America,Americas,828330,30.3308401,71.247499,43.897683433510366,-100.08947125585888
2014,2014,Export,Pakistan,92,Musical instruments; parts and accessories of such articles,Northern Europe,Europe,1096832,30.3308401,71.247499,59.36075159783851,25.01346951967388
2014,2014,Export,Pakistan,92,Musical instruments; parts and accessories of such articles,South-eastern Asia,Asia,62566,30.3308401,71.247499,10.528384761701911,103.08333472012376
2014,2014,Export,Pakistan,92,Musical instruments; parts and accessories of such articles,Southern Asia,Asia,37893,30.3308401,71.247499,25.499703063807168,75.5024015339642
2014,2014,Export,Pakistan,92,Musical instruments; parts and accessories of such articles,Southern Europe,Europe,90455,30.3308401,71.247499,40.12399607988535,20.742583178432696
2014,2014,Export,Pakistan,92,Musical instruments; parts and accessories of such articles,Sub-Saharan Africa,Africa,32641,30.3308401,71.247499,6.06272746187266,22.727528470146083
2014,2014,Export,Pakistan,92,Musical instruments; parts and accessories of such articles,Western Europe,Europe,749269,30.3308401,71.247499,47.92172048214207,7.866753258497997
2014,2014,Export,Pakistan,92,Musical instruments; parts and accessories of such articles,World,World,3414080,30.3308401,71.247499,,
2014,2014,Export,Pakistan,92,Musical instruments; parts and accessories of such articles,Afghanistan, Afghanistan,483,30.3308401,71.247499,,
2014,2014,Export,Pakistan,92,Musical instruments; parts and accessories of such articles,Bahrain, Bahrain,9618,30.3308401,71.247499,,
2014,2014,Export,Pakistan,92,Musical instruments; parts and accessories of such articles,Cyprus, Cyprus,4243,30.3308401,71.247499,,
2014,2014,Export,Pakistan,92,Musical instruments; parts and accessories of such articles,Djibouti, Djibouti,291,30.3308401,71.247499,,
2014,2014,Export,Pakistan,92,Musical instruments; parts and accessories of such articles,Iraq, Iraq,317,30.3308401,71.247499,,
2014,2014,Export,Pakistan,92,Musical instruments; parts and accessories of such articles,Jordan, Jordan,101180,30.3308401,71.247499,,
2014,2014,Export,Pakistan,92,Musical instruments; parts and accessories of such articles,Kuwait, Kuwait,40157,30.3308401,71.247499,,
2014,2014,Export,Pakistan,92,Musical instruments; parts and accessories of such articles,Oman, Oman,18607,30.3308401,71.247499,,
2014,2014,Export,Pakistan,92,Musical instruments; parts and accessories of such articles,Saudi Arabia, Saudi Arabia,171493,30.3308401,71.247499,,
2014,2014,Export,Pakistan,92,Musical instruments; parts and accessories of such articles,United Arab Emirates, United Arab Emirates,8259,30.3308401,71.247499,,
