yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2016,2016.0,Import,Pakistan,World,81.0,"Metals; n.e.c., cermets and articles thereof",10707043.0,,30.3308401,71.247499,-36.8535712,174.7456809
2016,2016.0,Import,Pakistan,Australia,81.0,"Metals; n.e.c., cermets and articles thereof",3886.0,,30.3308401,71.247499,-24.7761086,134.755
2016,2016.0,Import,Pakistan,China,81.0,"Metals; n.e.c., cermets and articles thereof",5249358.0,,30.3308401,71.247499,35.000074,104.999927
2016,2016.0,Import,Pakistan,France,81.0,"Metals; n.e.c., cermets and articles thereof",3645.0,,30.3308401,71.247499,46.603354,1.8883335
2016,2016.0,Import,Pakistan,Germany,81.0,"Metals; n.e.c., cermets and articles thereof",32062.0,,30.3308401,71.247499,51.1638175,10.4478313
2016,2016.0,Import,Pakistan,"China, Hong Kong SAR",81.0,"Metals; n.e.c., cermets and articles thereof",1482.0,,30.3308401,71.247499,22.350627,114.1849161
2016,2016.0,Import,Pakistan,Italy,81.0,"Metals; n.e.c., cermets and articles thereof",27004.0,,30.3308401,71.247499,42.6384261,12.674297
2016,2016.0,Import,Pakistan,Rep. of Korea,81.0,"Metals; n.e.c., cermets and articles thereof",817.0,,30.3308401,71.247499,,
2016,2016.0,Import,Pakistan,Madagascar,81.0,"Metals; n.e.c., cermets and articles thereof",805312.0,,30.3308401,71.247499,-18.9249604,46.4416422
2016,2016.0,Import,Pakistan,"Other Asia, nes",81.0,"Metals; n.e.c., cermets and articles thereof",6009.0,,30.3308401,71.247499,,
2016,2016.0,Import,Pakistan,"Other Europe, nes",81.0,"Metals; n.e.c., cermets and articles thereof",10714.0,,30.3308401,71.247499,,
2016,2016.0,Import,Pakistan,India,81.0,"Metals; n.e.c., cermets and articles thereof",3185135.0,,30.3308401,71.247499,22.3511148,78.6677428
2016,2016.0,Import,Pakistan,Singapore,81.0,"Metals; n.e.c., cermets and articles thereof",3201.0,,30.3308401,71.247499,1.357107,103.8194992
2016,2016.0,Import,Pakistan,South Africa,81.0,"Metals; n.e.c., cermets and articles thereof",65667.0,,30.3308401,71.247499,-28.8166236,24.991639
2016,2016.0,Import,Pakistan,Switzerland,81.0,"Metals; n.e.c., cermets and articles thereof",541.0,,30.3308401,71.247499,46.7985624,8.2319736
2016,2016.0,Import,Pakistan,Thailand,81.0,"Metals; n.e.c., cermets and articles thereof",998069.0,,30.3308401,71.247499,14.8971921,100.83273
2016,2016.0,Import,Pakistan,United Arab Emirates,81.0,"Metals; n.e.c., cermets and articles thereof",12305.0,,30.3308401,71.247499,24.0002488,53.9994829
2016,2016.0,Import,Pakistan,United Kingdom,81.0,"Metals; n.e.c., cermets and articles thereof",37470.0,,30.3308401,71.247499,54.7023545,-3.2765753
2016,2016.0,Import,Pakistan,USA,81.0,"Metals; n.e.c., cermets and articles thereof",264365.0,,30.3308401,71.247499,39.7837304,-100.445882
