yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2003,2003,Export,Qatar,30,Pharmaceutical products,Eastern Europe,Europe,52092,25.3336984,51.2295295,51.67568633314729,27.673469819741847
2003,2003,Export,Qatar,30,Pharmaceutical products,Latin America and the Caribbean,Americas,28462,25.3336984,51.2295295,17.925141963241547,-78.01492950057497
2003,2003,Export,Qatar,30,Pharmaceutical products,Northern America,Americas,803,25.3336984,51.2295295,43.897683433510366,-100.08947125585888
2003,2003,Export,Qatar,30,Pharmaceutical products,Northern Europe,Europe,2851,25.3336984,51.2295295,59.36075159783851,25.01346951967388
2003,2003,Export,Qatar,30,Pharmaceutical products,Southern Asia,Asia,549,25.3336984,51.2295295,25.499703063807168,75.5024015339642
2003,2003,Export,Qatar,30,Pharmaceutical products,Western Europe,Europe,351972,25.3336984,51.2295295,47.92172048214207,7.866753258497997
2003,2003,Export,Qatar,30,Pharmaceutical products,World,World,654947,25.3336984,51.2295295,,
2003,2003,Export,Qatar,30,Pharmaceutical products,Bahrain, Bahrain,23104,25.3336984,51.2295295,,
2003,2003,Export,Qatar,30,Pharmaceutical products,Iraq, Iraq,2747,25.3336984,51.2295295,,
2003,2003,Export,Qatar,30,Pharmaceutical products,Kuwait, Kuwait,66606,25.3336984,51.2295295,,
2003,2003,Export,Qatar,30,Pharmaceutical products,Saudi Arabia, Saudi Arabia,31365,25.3336984,51.2295295,,
2003,2003,Export,Qatar,30,Pharmaceutical products,United Arab Emirates, United Arab Emirates,74183,25.3336984,51.2295295,,
