yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2017,2017,Re-Export,Qatar,38,Chemical products n.e.c.,Australia and New Zealand,Oceania,51081,25.3336984,51.2295295,-16.85099460447687,133.4130365630627
2017,2017,Re-Export,Qatar,38,Chemical products n.e.c.,Central Asia,Asia,23352,25.3336984,51.2295295,39.89317229901691,61.060280637304274
2017,2017,Re-Export,Qatar,38,Chemical products n.e.c.,Eastern Asia,Asia,200779,25.3336984,51.2295295,37.977378106878206,73.97804075806764
2017,2017,Re-Export,Qatar,38,Chemical products n.e.c.,Northern Africa,Africa,4669,25.3336984,51.2295295,19.569604022535763,12.47761721199581
2017,2017,Re-Export,Qatar,38,Chemical products n.e.c.,Northern America,Americas,119853037,25.3336984,51.2295295,43.897683433510366,-100.08947125585888
2017,2017,Re-Export,Qatar,38,Chemical products n.e.c.,Northern Europe,Europe,64187585,25.3336984,51.2295295,59.36075159783851,25.01346951967388
2017,2017,Re-Export,Qatar,38,Chemical products n.e.c.,South-eastern Asia,Asia,1092309,25.3336984,51.2295295,10.528384761701911,103.08333472012376
2017,2017,Re-Export,Qatar,38,Chemical products n.e.c.,Southern Asia,Asia,861663,25.3336984,51.2295295,25.499703063807168,75.5024015339642
2017,2017,Re-Export,Qatar,38,Chemical products n.e.c.,Southern Europe,Europe,31677,25.3336984,51.2295295,40.12399607988535,20.742583178432696
2017,2017,Re-Export,Qatar,38,Chemical products n.e.c.,Sub-Saharan Africa,Africa,23010,25.3336984,51.2295295,6.06272746187266,22.727528470146083
2017,2017,Re-Export,Qatar,38,Chemical products n.e.c.,Western Europe,Europe,150954,25.3336984,51.2295295,47.92172048214207,7.866753258497997
2017,2017,Re-Export,Qatar,38,Chemical products n.e.c.,World,World,188041359,25.3336984,51.2295295,,
