yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
1992,1992.0,Export,Saudi Arabia,World,29.0,Organic chemicals,1866051328.0,,25.6242618,42.3528328,-36.8535712,174.7456809
1992,1992.0,Export,Saudi Arabia,Algeria,29.0,Organic chemicals,3293144.0,,25.6242618,42.3528328,28.0000272,2.9999825
1992,1992.0,Export,Saudi Arabia,Bahrain,29.0,Organic chemicals,1186756.0,,25.6242618,42.3528328,26.1551249,50.5344606
1992,1992.0,Export,Saudi Arabia,Bangladesh,29.0,Organic chemicals,26202.0,,25.6242618,42.3528328,24.4769288,90.2934413
1992,1992.0,Export,Saudi Arabia,Belgium-Luxembourg,29.0,Organic chemicals,5071148.0,,25.6242618,42.3528328,49.96379985,5.439803941614714
1992,1992.0,Export,Saudi Arabia,Brazil,29.0,Organic chemicals,18779416.0,,25.6242618,42.3528328,-10.3333333,-53.2
1992,1992.0,Export,Saudi Arabia,China,29.0,Organic chemicals,3623882.0,,25.6242618,42.3528328,35.000074,104.999927
1992,1992.0,Export,Saudi Arabia,Fmr Ethiopia,29.0,Organic chemicals,17250.0,,25.6242618,42.3528328,,
1992,1992.0,Export,Saudi Arabia,Finland,29.0,Organic chemicals,9524166.0,,25.6242618,42.3528328,63.2467777,25.9209164
1992,1992.0,Export,Saudi Arabia,France,29.0,Organic chemicals,36789680.0,,25.6242618,42.3528328,46.603354,1.8883335
1992,1992.0,Export,Saudi Arabia,Germany,29.0,Organic chemicals,866333.0,,25.6242618,42.3528328,51.1638175,10.4478313
1992,1992.0,Export,Saudi Arabia,Greece,29.0,Organic chemicals,366438.0,,25.6242618,42.3528328,38.9953683,21.9877132
1992,1992.0,Export,Saudi Arabia,"China, Hong Kong SAR",29.0,Organic chemicals,23672820.0,,25.6242618,42.3528328,22.350627,114.1849161
1992,1992.0,Export,Saudi Arabia,Indonesia,29.0,Organic chemicals,59520136.0,,25.6242618,42.3528328,-2.4833826,117.8902853
1992,1992.0,Export,Saudi Arabia,Iran,29.0,Organic chemicals,15753221.0,,25.6242618,42.3528328,32.6475314,54.5643516
1992,1992.0,Export,Saudi Arabia,Italy,29.0,Organic chemicals,89269856.0,,25.6242618,42.3528328,42.6384261,12.674297
1992,1992.0,Export,Saudi Arabia,Japan,29.0,Organic chemicals,329949472.0,,25.6242618,42.3528328,36.5748441,139.2394179
1992,1992.0,Export,Saudi Arabia,Jordan,29.0,Organic chemicals,584227.0,,25.6242618,42.3528328,31.1667049,36.941628
