yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2003,2003.0,Import,Saudi Arabia,World,4.0,Dairy produce; birds eggs; natural honey;,804430872.0,,25.6242618,42.3528328,-36.8535712,174.7456809
2003,2003.0,Import,Saudi Arabia,Argentina,4.0,Dairy produce; birds eggs; natural honey;,4880006.0,,25.6242618,42.3528328,-34.9964963,-64.9672817
2003,2003.0,Import,Saudi Arabia,Australia,4.0,Dairy produce; birds eggs; natural honey;,85421973.0,,25.6242618,42.3528328,-24.7761086,134.755
2003,2003.0,Import,Saudi Arabia,Austria,4.0,Dairy produce; birds eggs; natural honey;,2739737.0,,25.6242618,42.3528328,47.59397,14.12456
2003,2003.0,Import,Saudi Arabia,Belgium,4.0,Dairy produce; birds eggs; natural honey;,1989336.0,,25.6242618,42.3528328,50.6402809,4.6667145
2003,2003.0,Import,Saudi Arabia,Brazil,4.0,Dairy produce; birds eggs; natural honey;,943735.0,,25.6242618,42.3528328,-10.3333333,-53.2
2003,2003.0,Import,Saudi Arabia,Bulgaria,4.0,Dairy produce; birds eggs; natural honey;,768001.0,,25.6242618,42.3528328,42.6073975,25.4856617
2003,2003.0,Import,Saudi Arabia,Canada,4.0,Dairy produce; birds eggs; natural honey;,1730135.0,,25.6242618,42.3528328,61.0666922,-107.991707
2003,2003.0,Import,Saudi Arabia,Sri Lanka,4.0,Dairy produce; birds eggs; natural honey;,70133.0,,25.6242618,42.3528328,7.5554942,80.7137847
2003,2003.0,Import,Saudi Arabia,China,4.0,Dairy produce; birds eggs; natural honey;,74400.0,,25.6242618,42.3528328,35.000074,104.999927
2003,2003.0,Import,Saudi Arabia,Croatia,4.0,Dairy produce; birds eggs; natural honey;,131467.0,,25.6242618,42.3528328,45.5643442,17.0118954
2003,2003.0,Import,Saudi Arabia,Cyprus,4.0,Dairy produce; birds eggs; natural honey;,1278668.0,,25.6242618,42.3528328,34.9823018,33.1451285
2003,2003.0,Import,Saudi Arabia,Czechia,4.0,Dairy produce; birds eggs; natural honey;,4057338.0,,25.6242618,42.3528328,49.7439047,15.3381061
2003,2003.0,Import,Saudi Arabia,Denmark,4.0,Dairy produce; birds eggs; natural honey;,119935617.0,,25.6242618,42.3528328,55.670249,10.3333283
2003,2003.0,Import,Saudi Arabia,Finland,4.0,Dairy produce; birds eggs; natural honey;,4237605.0,,25.6242618,42.3528328,63.2467777,25.9209164
2003,2003.0,Import,Saudi Arabia,France,4.0,Dairy produce; birds eggs; natural honey;,51989932.0,,25.6242618,42.3528328,46.603354,1.8883335
2003,2003.0,Import,Saudi Arabia,Germany,4.0,Dairy produce; birds eggs; natural honey;,71900623.0,,25.6242618,42.3528328,51.1638175,10.4478313
2003,2003.0,Import,Saudi Arabia,"China, Hong Kong SAR",4.0,Dairy produce; birds eggs; natural honey;,30933.0,,25.6242618,42.3528328,22.350627,114.1849161
2003,2003.0,Import,Saudi Arabia,Hungary,4.0,Dairy produce; birds eggs; natural honey;,7305609.0,,25.6242618,42.3528328,47.1817585,19.5060937
2003,2003.0,Import,Saudi Arabia,Indonesia,4.0,Dairy produce; birds eggs; natural honey;,455734.0,,25.6242618,42.3528328,-2.4833826,117.8902853
2003,2003.0,Import,Saudi Arabia,Iran,4.0,Dairy produce; birds eggs; natural honey;,223200.0,,25.6242618,42.3528328,32.6475314,54.5643516
2003,2003.0,Import,Saudi Arabia,Ireland,4.0,Dairy produce; birds eggs; natural honey;,23562963.0,,25.6242618,42.3528328,52.865196,-7.9794599
2003,2003.0,Import,Saudi Arabia,Italy,4.0,Dairy produce; birds eggs; natural honey;,206934.0,,25.6242618,42.3528328,42.6384261,12.674297
2003,2003.0,Import,Saudi Arabia,Jordan,4.0,Dairy produce; birds eggs; natural honey;,720001.0,,25.6242618,42.3528328,31.1667049,36.941628
2003,2003.0,Import,Saudi Arabia,Kuwait,4.0,Dairy produce; birds eggs; natural honey;,2290403.0,,25.6242618,42.3528328,29.2733964,47.4979476
2003,2003.0,Import,Saudi Arabia,Lithuania,4.0,Dairy produce; birds eggs; natural honey;,208267.0,,25.6242618,42.3528328,55.3500003,23.7499997
2003,2003.0,Import,Saudi Arabia,Malaysia,4.0,Dairy produce; birds eggs; natural honey;,11138947.0,,25.6242618,42.3528328,4.5693754,102.2656823
2003,2003.0,Import,Saudi Arabia,Mexico,4.0,Dairy produce; birds eggs; natural honey;,5978941.0,,25.6242618,42.3528328,23.6585116,-102.0077097
2003,2003.0,Import,Saudi Arabia,Morocco,4.0,Dairy produce; birds eggs; natural honey;,13274150.0,,25.6242618,42.3528328,31.1728205,-7.3362482
2003,2003.0,Import,Saudi Arabia,Oman,4.0,Dairy produce; birds eggs; natural honey;,2709603.0,,25.6242618,42.3528328,21.0000287,57.0036901
2003,2003.0,Import,Saudi Arabia,Namibia,4.0,Dairy produce; birds eggs; natural honey;,34933.0,,25.6242618,42.3528328,-23.2335499,17.3231107
2003,2003.0,Import,Saudi Arabia,Netherlands,4.0,Dairy produce; birds eggs; natural honey;,159106066.0,,25.6242618,42.3528328,52.2434979,5.6343227
2003,2003.0,Import,Saudi Arabia,New Zealand,4.0,Dairy produce; birds eggs; natural honey;,108752403.0,,25.6242618,42.3528328,-41.5000831,172.8344077
2003,2003.0,Import,Saudi Arabia,Pakistan,4.0,Dairy produce; birds eggs; natural honey;,6635475.0,,25.6242618,42.3528328,30.3308401,71.247499
2003,2003.0,Import,Saudi Arabia,Philippines,4.0,Dairy produce; birds eggs; natural honey;,557601.0,,25.6242618,42.3528328,12.7503486,122.7312101
2003,2003.0,Import,Saudi Arabia,Poland,4.0,Dairy produce; birds eggs; natural honey;,26455766.0,,25.6242618,42.3528328,52.215933,19.134422
2003,2003.0,Import,Saudi Arabia,Portugal,4.0,Dairy produce; birds eggs; natural honey;,612267.0,,25.6242618,42.3528328,39.6621648,-8.1353519
2003,2003.0,Import,Saudi Arabia,Romania,4.0,Dairy produce; birds eggs; natural honey;,74933.0,,25.6242618,42.3528328,45.9852129,24.6859225
2003,2003.0,Import,Saudi Arabia,Russian Federation,4.0,Dairy produce; birds eggs; natural honey;,45333.0,,25.6242618,42.3528328,64.6863136,97.7453061
2003,2003.0,Import,Saudi Arabia,San Marino,4.0,Dairy produce; birds eggs; natural honey;,480267.0,,25.6242618,42.3528328,43.9458623,12.458306
2003,2003.0,Import,Saudi Arabia,India,4.0,Dairy produce; birds eggs; natural honey;,2953070.0,,25.6242618,42.3528328,22.3511148,78.6677428
2003,2003.0,Import,Saudi Arabia,Singapore,4.0,Dairy produce; birds eggs; natural honey;,442134.0,,25.6242618,42.3528328,1.357107,103.8194992
2003,2003.0,Import,Saudi Arabia,Slovakia,4.0,Dairy produce; birds eggs; natural honey;,269600.0,,25.6242618,42.3528328,48.7411522,19.4528646
2003,2003.0,Import,Saudi Arabia,Spain,4.0,Dairy produce; birds eggs; natural honey;,2706403.0,,25.6242618,42.3528328,39.3260685,-4.8379791
2003,2003.0,Import,Saudi Arabia,Sweden,4.0,Dairy produce; birds eggs; natural honey;,3314671.0,,25.6242618,42.3528328,59.6749712,14.5208584
2003,2003.0,Import,Saudi Arabia,Switzerland,4.0,Dairy produce; birds eggs; natural honey;,12597616.0,,25.6242618,42.3528328,46.7985624,8.2319736
2003,2003.0,Import,Saudi Arabia,Syria,4.0,Dairy produce; birds eggs; natural honey;,2600537.0,,25.6242618,42.3528328,34.6401861,39.0494106
2003,2003.0,Import,Saudi Arabia,United Arab Emirates,4.0,Dairy produce; birds eggs; natural honey;,3588804.0,,25.6242618,42.3528328,24.0002488,53.9994829
2003,2003.0,Import,Saudi Arabia,Tunisia,4.0,Dairy produce; birds eggs; natural honey;,48000.0,,25.6242618,42.3528328,33.8439408,9.400138
2003,2003.0,Import,Saudi Arabia,Turkey,4.0,Dairy produce; birds eggs; natural honey;,16893354.0,,25.6242618,42.3528328,38.9597594,34.9249653
2003,2003.0,Import,Saudi Arabia,Ukraine,4.0,Dairy produce; birds eggs; natural honey;,164800.0,,25.6242618,42.3528328,49.4871968,31.2718321
2003,2003.0,Import,Saudi Arabia,Egypt,4.0,Dairy produce; birds eggs; natural honey;,14112551.0,,25.6242618,42.3528328,26.2540493,29.2675469
2003,2003.0,Import,Saudi Arabia,United Kingdom,4.0,Dairy produce; birds eggs; natural honey;,2237869.0,,25.6242618,42.3528328,54.7023545,-3.2765753
2003,2003.0,Import,Saudi Arabia,USA,4.0,Dairy produce; birds eggs; natural honey;,6628542.0,,25.6242618,42.3528328,39.7837304,-100.445882
2003,2003.0,Import,Saudi Arabia,Uruguay,4.0,Dairy produce; birds eggs; natural honey;,38133.0,,25.6242618,42.3528328,-32.8755548,-56.0201525
2003,2003.0,Import,Saudi Arabia,Yemen,4.0,Dairy produce; birds eggs; natural honey;,12638416.0,,25.6242618,42.3528328,16.3471243,47.8915271
2003,2003.0,Import,Saudi Arabia,"Areas, nes",4.0,Dairy produce; birds eggs; natural honey;,186934.0,,25.6242618,42.3528328,,
