yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2007,2007,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,640674,25.62,42.35,-16.85099460447687,133.4130365630627
2007,2007,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,5440519,25.62,42.35,37.977378106878206,73.97804075806764
2007,2007,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,374638,25.62,42.35,,
2007,2007,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,3644980,25.62,42.35,17.925141963241547,-78.01492950057497
2007,2007,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,13580351,25.62,42.35,43.897683433510366,-100.08947125585888
2007,2007,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,7611229,25.62,42.35,59.36075159783851,25.01346951967388
2007,2007,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,11870734,25.62,42.35,10.528384761701911,103.08333472012376
2007,2007,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,5795678,25.62,42.35,40.12399607988535,20.742583178432696
2007,2007,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,767153,25.62,42.35,26.42921218083572,52.86847103284948
2007,2007,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,19857133,25.62,42.35,47.92172048214207,7.866753258497997
2007,2007,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,74540100,25.62,42.35,,
2007,2007,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Jordan, Jordan,577433,25.62,42.35,,
2007,2007,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Pakistan, Pakistan,203062,25.62,42.35,,
2007,2007,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,794904,25.62,42.35,,
