yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2016,2016,Import,Saudi Arabia,64,Footwear; gaiters and the like; parts of such articles,Eastern Asia,Asia,530215061,25.62,42.35,37.977378106878206,73.97804075806764
2016,2016,Import,Saudi Arabia,64,Footwear; gaiters and the like; parts of such articles,Eastern Europe,Europe,1717600,25.62,42.35,51.67568633314729,27.673469819741847
2016,2016,Import,Saudi Arabia,64,Footwear; gaiters and the like; parts of such articles,Egypt,Egypt,291733,25.62,42.35,,
2016,2016,Import,Saudi Arabia,64,Footwear; gaiters and the like; parts of such articles,Latin America and the Caribbean,Americas,12799480,25.62,42.35,17.925141963241547,-78.01492950057497
2016,2016,Import,Saudi Arabia,64,Footwear; gaiters and the like; parts of such articles,Northern America,Americas,4364272,25.62,42.35,43.897683433510366,-100.08947125585888
2016,2016,Import,Saudi Arabia,64,Footwear; gaiters and the like; parts of such articles,Northern Europe,Europe,1178934,25.62,42.35,59.36075159783851,25.01346951967388
2016,2016,Import,Saudi Arabia,64,Footwear; gaiters and the like; parts of such articles,South-eastern Asia,Asia,152549520,25.62,42.35,10.528384761701911,103.08333472012376
2016,2016,Import,Saudi Arabia,64,Footwear; gaiters and the like; parts of such articles,Southern Asia,Asia,2341069,25.62,42.35,25.499703063807168,75.5024015339642
2016,2016,Import,Saudi Arabia,64,Footwear; gaiters and the like; parts of such articles,Southern Europe,Europe,65571012,25.62,42.35,40.12399607988535,20.742583178432696
2016,2016,Import,Saudi Arabia,64,Footwear; gaiters and the like; parts of such articles,Tunisia,Tunisia,29866,25.62,42.35,,
2016,2016,Import,Saudi Arabia,64,Footwear; gaiters and the like; parts of such articles,Western Asia,Asia,27601367,25.62,42.35,26.42921218083572,52.86847103284948
2016,2016,Import,Saudi Arabia,64,Footwear; gaiters and the like; parts of such articles,Western Europe,Europe,1746400,25.62,42.35,47.92172048214207,7.866753258497997
2016,2016,Import,Saudi Arabia,64,Footwear; gaiters and the like; parts of such articles,World,World,852829332,25.62,42.35,,
2016,2016,Import,Saudi Arabia,64,Footwear; gaiters and the like; parts of such articles,Bahrain, Bahrain,668267,25.62,42.35,,
2016,2016,Import,Saudi Arabia,64,Footwear; gaiters and the like; parts of such articles,Jordan, Jordan,1217334,25.62,42.35,,
2016,2016,Import,Saudi Arabia,64,Footwear; gaiters and the like; parts of such articles,Kuwait, Kuwait,80533,25.62,42.35,,
2016,2016,Import,Saudi Arabia,64,Footwear; gaiters and the like; parts of such articles,Lebanon, Lebanon,680534,25.62,42.35,,
2016,2016,Import,Saudi Arabia,64,Footwear; gaiters and the like; parts of such articles,Morocco, Morocco,240000,25.62,42.35,,
2016,2016,Import,Saudi Arabia,64,Footwear; gaiters and the like; parts of such articles,Oman, Oman,90666,25.62,42.35,,
2016,2016,Import,Saudi Arabia,64,Footwear; gaiters and the like; parts of such articles,Pakistan, Pakistan,8862677,25.62,42.35,,
2016,2016,Import,Saudi Arabia,64,Footwear; gaiters and the like; parts of such articles,Qatar, Qatar,131200,25.62,42.35,,
2016,2016,Import,Saudi Arabia,64,Footwear; gaiters and the like; parts of such articles,State of Palestine, State of Palestine,808001,25.62,42.35,,
2016,2016,Import,Saudi Arabia,64,Footwear; gaiters and the like; parts of such articles,United Arab Emirates, United Arab Emirates,2119469,25.62,42.35,,
