yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2018,2018,Re-Export,Saudi Arabia,World,39,Plastics and articles thereof,68127384,,,-36.8535712,174.7456809
2018,2018,Re-Export,Saudi Arabia,Algeria,39,Plastics and articles thereof,178189,,,28.0000272,2.9999825
2018,2018,Re-Export,Saudi Arabia,Argentina,39,Plastics and articles thereof,20194,,,-34.9964963,-64.9672817
2018,2018,Re-Export,Saudi Arabia,Australia,39,Plastics and articles thereof,31140,,,-24.7761086,134.755
2018,2018,Re-Export,Saudi Arabia,Bahrain,39,Plastics and articles thereof,5982475,,,26.1551249,50.5344606
2018,2018,Re-Export,Saudi Arabia,Bangladesh,39,Plastics and articles thereof,61627,,,24.4769288,90.2934413
2018,2018,Re-Export,Saudi Arabia,Belgium,39,Plastics and articles thereof,152364,,,50.6402809,4.6667145
2018,2018,Re-Export,Saudi Arabia,Brazil,39,Plastics and articles thereof,8674,,,-10.3333333,-53.2
2018,2018,Re-Export,Saudi Arabia,Myanmar,39,Plastics and articles thereof,22652,,,,
2018,2018,Re-Export,Saudi Arabia,Cameroon,39,Plastics and articles thereof,8584,,,4.6125522,13.1535811
2018,2018,Re-Export,Saudi Arabia,Sri Lanka,39,Plastics and articles thereof,46759,,,7.5554942,80.7137847
2018,2018,Re-Export,Saudi Arabia,China,39,Plastics and articles thereof,3021473,,,35.000074,104.999927
2018,2018,Re-Export,Saudi Arabia,Comoros,39,Plastics and articles thereof,44293,,,-12.2045176,44.2832964
2018,2018,Re-Export,Saudi Arabia,Cyprus,39,Plastics and articles thereof,20399,,,34.9823018,33.1451285
2018,2018,Re-Export,Saudi Arabia,Benin,39,Plastics and articles thereof,39222,,,9.5293472,2.2584408
2018,2018,Re-Export,Saudi Arabia,Denmark,39,Plastics and articles thereof,29169,,,55.670249,10.3333283
2018,2018,Re-Export,Saudi Arabia,Ethiopia,39,Plastics and articles thereof,38120,,,10.2116702,38.6521203
2018,2018,Re-Export,Saudi Arabia,Eritrea,39,Plastics and articles thereof,15042,,,15.9500319,37.9999668
2018,2018,Re-Export,Saudi Arabia,France,39,Plastics and articles thereof,192649,,,46.603354,1.8883335
2018,2018,Re-Export,Saudi Arabia,Djibouti,39,Plastics and articles thereof,329421,,,11.8145966,42.8453061
2018,2018,Re-Export,Saudi Arabia,Gambia,39,Plastics and articles thereof,25264,,,13.470062,-15.4900464
