yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2019,2019,Import,Saudi Arabia,World,97,Works of art; collectors' pieces and antiques,19325287,,,-36.8535712,174.7456809
2019,2019,Import,Saudi Arabia,Argentina,97,Works of art; collectors' pieces and antiques,3079,,,-34.9964963,-64.9672817
2019,2019,Import,Saudi Arabia,Australia,97,Works of art; collectors' pieces and antiques,7525,,,-24.7761086,134.755
2019,2019,Import,Saudi Arabia,Bahrain,97,Works of art; collectors' pieces and antiques,11732,,,26.1551249,50.5344606
2019,2019,Import,Saudi Arabia,Belgium,97,Works of art; collectors' pieces and antiques,7965,,,50.6402809,4.6667145
2019,2019,Import,Saudi Arabia,Brazil,97,Works of art; collectors' pieces and antiques,151286,,,-10.3333333,-53.2
2019,2019,Import,Saudi Arabia,Canada,97,Works of art; collectors' pieces and antiques,41819,,,61.0666922,-107.991707
2019,2019,Import,Saudi Arabia,China,97,Works of art; collectors' pieces and antiques,4821808,,,35.000074,104.999927
2019,2019,Import,Saudi Arabia,Colombia,97,Works of art; collectors' pieces and antiques,20360,,,4.099917,-72.9088133
2019,2019,Import,Saudi Arabia,Czechia,97,Works of art; collectors' pieces and antiques,11556,,,,
2019,2019,Import,Saudi Arabia,Denmark,97,Works of art; collectors' pieces and antiques,11257,,,55.670249,10.3333283
2019,2019,Import,Saudi Arabia,France,97,Works of art; collectors' pieces and antiques,3272967,,,46.603354,1.8883335
2019,2019,Import,Saudi Arabia,Germany,97,Works of art; collectors' pieces and antiques,212042,,,51.1638175,10.4478313
2019,2019,Import,Saudi Arabia,"China, Hong Kong SAR",97,Works of art; collectors' pieces and antiques,40993,,,22.350627,114.1849161
2019,2019,Import,Saudi Arabia,Indonesia,97,Works of art; collectors' pieces and antiques,66034,,,-2.4833826,117.8902853
2019,2019,Import,Saudi Arabia,Ireland,97,Works of art; collectors' pieces and antiques,115776,,,52.865196,-7.9794599
2019,2019,Import,Saudi Arabia,Italy,97,Works of art; collectors' pieces and antiques,2162729,,,42.6384261,12.674297
2019,2019,Import,Saudi Arabia,Japan,97,Works of art; collectors' pieces and antiques,344132,,,36.5748441,139.2394179
2019,2019,Import,Saudi Arabia,Jordan,97,Works of art; collectors' pieces and antiques,19000,,,31.1667049,36.941628
2019,2019,Import,Saudi Arabia,Kenya,97,Works of art; collectors' pieces and antiques,21525,,,1.4419683,38.4313975
2019,2019,Import,Saudi Arabia,Rep. of Korea,97,Works of art; collectors' pieces and antiques,38455,,,,
2019,2019,Import,Saudi Arabia,Kuwait,97,Works of art; collectors' pieces and antiques,54442,,,29.2733964,47.4979476
2019,2019,Import,Saudi Arabia,Kyrgyzstan,97,Works of art; collectors' pieces and antiques,2709,,,41.5089324,74.724091
2019,2019,Import,Saudi Arabia,Lebanon,97,Works of art; collectors' pieces and antiques,454715,,,33.8750629,35.843409
2019,2019,Import,Saudi Arabia,"China, Macao SAR",97,Works of art; collectors' pieces and antiques,3219,,,,
2019,2019,Import,Saudi Arabia,"Other Asia, nes",97,Works of art; collectors' pieces and antiques,7836,,,,
2019,2019,Import,Saudi Arabia,Mongolia,97,Works of art; collectors' pieces and antiques,10156,,,46.8250388,103.8499736
2019,2019,Import,Saudi Arabia,Morocco,97,Works of art; collectors' pieces and antiques,54724,,,31.1728205,-7.3362482
2019,2019,Import,Saudi Arabia,Netherlands,97,Works of art; collectors' pieces and antiques,57699,,,52.2434979,5.6343227
2019,2019,Import,Saudi Arabia,Norway,97,Works of art; collectors' pieces and antiques,10899,,,60.5000209,9.0999715
2019,2019,Import,Saudi Arabia,Peru,97,Works of art; collectors' pieces and antiques,4395,,,-6.8699697,-75.0458515
2019,2019,Import,Saudi Arabia,Pitcairn,97,Works of art; collectors' pieces and antiques,3914,,,,
