yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2020,2020,Export,Saudi Arabia,World,96,Miscellaneous manufactured articles,292753686,,,-36.8535712,174.7456809
2020,2020,Export,Saudi Arabia,Algeria,96,Miscellaneous manufactured articles,5020,,,28.0000272,2.9999825
2020,2020,Export,Saudi Arabia,Bahrain,96,Miscellaneous manufactured articles,12467622,,,26.1551249,50.5344606
2020,2020,Export,Saudi Arabia,France,96,Miscellaneous manufactured articles,40856,,,46.603354,1.8883335
2020,2020,Export,Saudi Arabia,Djibouti,96,Miscellaneous manufactured articles,53915,,,11.8145966,42.8453061
2020,2020,Export,Saudi Arabia,State of Palestine,96,Miscellaneous manufactured articles,55918,,,31.46242095,34.262716572130714
2020,2020,Export,Saudi Arabia,Germany,96,Miscellaneous manufactured articles,157294,,,51.1638175,10.4478313
2020,2020,Export,Saudi Arabia,"China, Hong Kong SAR",96,Miscellaneous manufactured articles,8367,,,22.350627,114.1849161
2020,2020,Export,Saudi Arabia,Hungary,96,Miscellaneous manufactured articles,7034,,,47.1817585,19.5060937
2020,2020,Export,Saudi Arabia,Iraq,96,Miscellaneous manufactured articles,48856805,,,33.0955793,44.1749775
2020,2020,Export,Saudi Arabia,Italy,96,Miscellaneous manufactured articles,4444,,,42.6384261,12.674297
2020,2020,Export,Saudi Arabia,Jordan,96,Miscellaneous manufactured articles,12288670,,,31.1667049,36.941628
2020,2020,Export,Saudi Arabia,Rep. of Korea,96,Miscellaneous manufactured articles,22100,,,,
2020,2020,Export,Saudi Arabia,Kuwait,96,Miscellaneous manufactured articles,28564568,,,29.2733964,47.4979476
2020,2020,Export,Saudi Arabia,Lebanon,96,Miscellaneous manufactured articles,325373,,,33.8750629,35.843409
2020,2020,Export,Saudi Arabia,Libya,96,Miscellaneous manufactured articles,479300,,,26.8234472,18.1236723
2020,2020,Export,Saudi Arabia,Mauritania,96,Miscellaneous manufactured articles,809639,,,20.2540382,-9.2399263
2020,2020,Export,Saudi Arabia,Oman,96,Miscellaneous manufactured articles,36084302,,,21.0000287,57.0036901
2020,2020,Export,Saudi Arabia,Pakistan,96,Miscellaneous manufactured articles,299015,,,30.3308401,71.247499
2020,2020,Export,Saudi Arabia,India,96,Miscellaneous manufactured articles,2922766,,,22.3511148,78.6677428
2020,2020,Export,Saudi Arabia,Somalia,96,Miscellaneous manufactured articles,202571,,,8.3676771,49.083416
2020,2020,Export,Saudi Arabia,Spain,96,Miscellaneous manufactured articles,21787,,,39.3260685,-4.8379791
2020,2020,Export,Saudi Arabia,Sudan,96,Miscellaneous manufactured articles,660672,,,14.5844444,29.4917691
2020,2020,Export,Saudi Arabia,Syria,96,Miscellaneous manufactured articles,3534,,,34.6401861,39.0494106
2020,2020,Export,Saudi Arabia,United Arab Emirates,96,Miscellaneous manufactured articles,91412361,,,24.0002488,53.9994829
2020,2020,Export,Saudi Arabia,Tunisia,96,Miscellaneous manufactured articles,20740,,,33.8439408,9.400138
2020,2020,Export,Saudi Arabia,Turkey,96,Miscellaneous manufactured articles,579899,,,38.9597594,34.9249653
2020,2020,Export,Saudi Arabia,Egypt,96,Miscellaneous manufactured articles,532975,,,26.2540493,29.2675469
2020,2020,Export,Saudi Arabia,Yemen,96,Miscellaneous manufactured articles,55866127,,,16.3471243,47.8915271
