yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2016,2016,Export,Saudi Arabia,World,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1747143,,,-36.8535712,174.7456809
2016,2016,Export,Saudi Arabia,Algeria,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",270432,,,28.0000272,2.9999825
2016,2016,Export,Saudi Arabia,Bahrain,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",48005,,,26.1551249,50.5344606
2016,2016,Export,Saudi Arabia,China,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",27736,,,35.000074,104.999927
2016,2016,Export,Saudi Arabia,Jordan,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",67208,,,31.1667049,36.941628
2016,2016,Export,Saudi Arabia,Kuwait,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",30937,,,29.2733964,47.4979476
2016,2016,Export,Saudi Arabia,Mexico,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",49339,,,23.6585116,-102.0077097
2016,2016,Export,Saudi Arabia,Netherlands,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",65607,,,52.2434979,5.6343227
2016,2016,Export,Saudi Arabia,Qatar,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",161086,,,25.3336984,51.2295295
2016,2016,Export,Saudi Arabia,Sudan,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",83743,,,14.5844444,29.4917691
2016,2016,Export,Saudi Arabia,United Arab Emirates,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",792361,,,24.0002488,53.9994829
