yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2009,2009,Import,State of Palestine,91,Clocks and watches and parts thereof,Eastern Asia,Asia,718302,31.46,34.26,37.977378106878206,73.97804075806764
2009,2009,Import,State of Palestine,91,Clocks and watches and parts thereof,Egypt,Egypt,30311,31.46,34.26,,
2009,2009,Import,State of Palestine,91,Clocks and watches and parts thereof,Northern America,Americas,3765,31.46,34.26,43.897683433510366,-100.08947125585888
2009,2009,Import,State of Palestine,91,Clocks and watches and parts thereof,Northern Europe,Europe,2334,31.46,34.26,59.36075159783851,25.01346951967388
2009,2009,Import,State of Palestine,91,Clocks and watches and parts thereof,South-eastern Asia,Asia,5423,31.46,34.26,10.528384761701911,103.08333472012376
2009,2009,Import,State of Palestine,91,Clocks and watches and parts thereof,Southern Europe,Europe,30966,31.46,34.26,40.12399607988535,20.742583178432696
2009,2009,Import,State of Palestine,91,Clocks and watches and parts thereof,Sub-Saharan Africa,Africa,12809,31.46,34.26,6.06272746187266,22.727528470146083
2009,2009,Import,State of Palestine,91,Clocks and watches and parts thereof,Western Asia,Asia,198931,31.46,34.26,26.42921218083572,52.86847103284948
2009,2009,Import,State of Palestine,91,Clocks and watches and parts thereof,Western Europe,Europe,37759,31.46,34.26,47.92172048214207,7.866753258497997
2009,2009,Import,State of Palestine,91,Clocks and watches and parts thereof,World,World,1459743,31.46,34.26,,
2009,2009,Import,State of Palestine,91,Clocks and watches and parts thereof,Israel, Israel,278127,31.46,34.26,,
2009,2009,Import,State of Palestine,91,Clocks and watches and parts thereof,Jordan, Jordan,36739,31.46,34.26,,
