yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2010,2010,Export,State of Palestine,44,Wood and articles of wood; wood charcoal,Australia and New Zealand,Oceania,11788,31.46,34.26,-16.85099460447687,133.4130365630627
2010,2010,Export,State of Palestine,44,Wood and articles of wood; wood charcoal,Northern America,Americas,232832,31.46,34.26,43.897683433510366,-100.08947125585888
2010,2010,Export,State of Palestine,44,Wood and articles of wood; wood charcoal,Northern Europe,Europe,5000,31.46,34.26,59.36075159783851,25.01346951967388
2010,2010,Export,State of Palestine,44,Wood and articles of wood; wood charcoal,Southern Europe,Europe,32104,31.46,34.26,40.12399607988535,20.742583178432696
2010,2010,Export,State of Palestine,44,Wood and articles of wood; wood charcoal,Western Asia,Asia,10530,31.46,34.26,26.42921218083572,52.86847103284948
2010,2010,Export,State of Palestine,44,Wood and articles of wood; wood charcoal,Western Europe,Europe,112836,31.46,34.26,47.92172048214207,7.866753258497997
2010,2010,Export,State of Palestine,44,Wood and articles of wood; wood charcoal,World,World,22818329,31.46,34.26,,
2010,2010,Export,State of Palestine,44,Wood and articles of wood; wood charcoal,Israel, Israel,22287308,31.46,34.26,,
2010,2010,Export,State of Palestine,44,Wood and articles of wood; wood charcoal,Jordan, Jordan,110930,31.46,34.26,,
2010,2010,Export,State of Palestine,44,Wood and articles of wood; wood charcoal,Morocco, Morocco,15000,31.46,34.26,,
