yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue
2012,2012,Import,State of Palestine,83,Miscellaneous articles of base metal,Australia and New Zealand,Oceania,1084
2012,2012,Import,State of Palestine,83,Miscellaneous articles of base metal,Eastern Asia,Asia,3557716
2012,2012,Import,State of Palestine,83,Miscellaneous articles of base metal,Eastern Europe,Europe,96997
2012,2012,Import,State of Palestine,83,Miscellaneous articles of base metal,Latin America and the Caribbean,Americas,1488
2012,2012,Import,State of Palestine,83,Miscellaneous articles of base metal,Northern Africa,Africa,65645
2012,2012,Import,State of Palestine,83,Miscellaneous articles of base metal,Northern America,Americas,15700
2012,2012,Import,State of Palestine,83,Miscellaneous articles of base metal,Northern Europe,Europe,128050
2012,2012,Import,State of Palestine,83,Miscellaneous articles of base metal,South-eastern Asia,Asia,18057
2012,2012,Import,State of Palestine,83,Miscellaneous articles of base metal,Southern Europe,Europe,919656
2012,2012,Import,State of Palestine,83,Miscellaneous articles of base metal,Sub-Saharan Africa,Africa,1763
2012,2012,Import,State of Palestine,83,Miscellaneous articles of base metal,Western Asia,Asia,1083076
2012,2012,Import,State of Palestine,83,Miscellaneous articles of base metal,Western Europe,Europe,429204
2012,2012,Import,State of Palestine,83,Miscellaneous articles of base metal,World,World,8454990
