yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2018,2018.0,Import,State of Palestine,World,33.0,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",87125986.0,,31.46242095,34.262716572130714,-36.8535712,174.7456809
2018,2018.0,Import,State of Palestine,Australia,33.0,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",13628.0,,31.46242095,34.262716572130714,-24.7761086,134.755
2018,2018.0,Import,State of Palestine,Austria,33.0,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",3.0,,31.46242095,34.262716572130714,47.59397,14.12456
2018,2018.0,Import,State of Palestine,Belgium,33.0,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",240026.0,,31.46242095,34.262716572130714,50.6402809,4.6667145
2018,2018.0,Import,State of Palestine,Brazil,33.0,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",27014.0,,31.46242095,34.262716572130714,-10.3333333,-53.2
2018,2018.0,Import,State of Palestine,Bulgaria,33.0,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",250621.0,,31.46242095,34.262716572130714,42.6073975,25.4856617
2018,2018.0,Import,State of Palestine,Canada,33.0,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",366.0,,31.46242095,34.262716572130714,61.0666922,-107.991707
2018,2018.0,Import,State of Palestine,Sri Lanka,33.0,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",4653.0,,31.46242095,34.262716572130714,7.5554942,80.7137847
2018,2018.0,Import,State of Palestine,China,33.0,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",1750627.0,,31.46242095,34.262716572130714,35.000074,104.999927
2018,2018.0,Import,State of Palestine,Croatia,33.0,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",8670.0,,31.46242095,34.262716572130714,45.5643442,17.0118954
2018,2018.0,Import,State of Palestine,Cyprus,33.0,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",4.0,,31.46242095,34.262716572130714,34.9823018,33.1451285
2018,2018.0,Import,State of Palestine,Czechia,33.0,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",116662.0,,31.46242095,34.262716572130714,49.7439047,15.3381061
2018,2018.0,Import,State of Palestine,France,33.0,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",14465566.0,,31.46242095,34.262716572130714,46.603354,1.8883335
2018,2018.0,Import,State of Palestine,Germany,33.0,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",6261186.0,,31.46242095,34.262716572130714,51.1638175,10.4478313
2018,2018.0,Import,State of Palestine,Greece,33.0,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",651426.0,,31.46242095,34.262716572130714,38.9953683,21.9877132
2018,2018.0,Import,State of Palestine,"China, Hong Kong SAR",33.0,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",4485.0,,31.46242095,34.262716572130714,22.350627,114.1849161
2018,2018.0,Import,State of Palestine,Indonesia,33.0,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",31436.0,,31.46242095,34.262716572130714,-2.4833826,117.8902853
2018,2018.0,Import,State of Palestine,Ireland,33.0,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",977038.0,,31.46242095,34.262716572130714,52.865196,-7.9794599
2018,2018.0,Import,State of Palestine,Israel,33.0,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",32184851.0,,31.46242095,34.262716572130714,30.8124247,34.8594762
2018,2018.0,Import,State of Palestine,Italy,33.0,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",2574536.0,,31.46242095,34.262716572130714,42.6384261,12.674297
2018,2018.0,Import,State of Palestine,Japan,33.0,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",23870.0,,31.46242095,34.262716572130714,36.5748441,139.2394179
2018,2018.0,Import,State of Palestine,Jordan,33.0,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",666016.0,,31.46242095,34.262716572130714,31.1667049,36.941628
2018,2018.0,Import,State of Palestine,Rep. of Korea,33.0,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",37543.0,,31.46242095,34.262716572130714,,
2018,2018.0,Import,State of Palestine,Latvia,33.0,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",10.0,,31.46242095,34.262716572130714,56.8406494,24.7537645
2018,2018.0,Import,State of Palestine,Luxembourg,33.0,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",3222.0,,31.46242095,34.262716572130714,49.8158683,6.1296751
2018,2018.0,Import,State of Palestine,Malaysia,33.0,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",45927.0,,31.46242095,34.262716572130714,4.5693754,102.2656823
2018,2018.0,Import,State of Palestine,Malta,33.0,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",8966.0,,31.46242095,34.262716572130714,35.8885993,14.4476911
2018,2018.0,Import,State of Palestine,"Other Asia, nes",33.0,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",11602.0,,31.46242095,34.262716572130714,,
2018,2018.0,Import,State of Palestine,Netherlands,33.0,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",111421.0,,31.46242095,34.262716572130714,52.2434979,5.6343227
2018,2018.0,Import,State of Palestine,Nigeria,33.0,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",1059.0,,31.46242095,34.262716572130714,9.6000359,7.9999721
2018,2018.0,Import,State of Palestine,Norway,33.0,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",18358.0,,31.46242095,34.262716572130714,60.5000209,9.0999715
2018,2018.0,Import,State of Palestine,Pakistan,33.0,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",32877.0,,31.46242095,34.262716572130714,30.3308401,71.247499
2018,2018.0,Import,State of Palestine,Philippines,33.0,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",25434.0,,31.46242095,34.262716572130714,12.7503486,122.7312101
2018,2018.0,Import,State of Palestine,Poland,33.0,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",550268.0,,31.46242095,34.262716572130714,52.215933,19.134422
2018,2018.0,Import,State of Palestine,Romania,33.0,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",5965489.0,,31.46242095,34.262716572130714,45.9852129,24.6859225
2018,2018.0,Import,State of Palestine,Russian Federation,33.0,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",7138.0,,31.46242095,34.262716572130714,64.6863136,97.7453061
2018,2018.0,Import,State of Palestine,San Marino,33.0,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",11.0,,31.46242095,34.262716572130714,43.9458623,12.458306
2018,2018.0,Import,State of Palestine,Saudi Arabia,33.0,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",439572.0,,31.46242095,34.262716572130714,25.6242618,42.3528328
2018,2018.0,Import,State of Palestine,India,33.0,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",567966.0,,31.46242095,34.262716572130714,22.3511148,78.6677428
2018,2018.0,Import,State of Palestine,Singapore,33.0,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",67696.0,,31.46242095,34.262716572130714,1.357107,103.8194992
2018,2018.0,Import,State of Palestine,Slovakia,33.0,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",41.0,,31.46242095,34.262716572130714,48.7411522,19.4528646
2018,2018.0,Import,State of Palestine,South Africa,33.0,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",4584.0,,31.46242095,34.262716572130714,-28.8166236,24.991639
