yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2010,2010,Import,Turkey,26,"Ores, slag and ash",Australia and New Zealand,Oceania,699689,38.9597594,34.9249653,-16.85099460447687,133.4130365630627
2010,2010,Import,Turkey,26,"Ores, slag and ash",Central Asia,Asia,778465,38.9597594,34.9249653,39.89317229901691,61.060280637304274
2010,2010,Import,Turkey,26,"Ores, slag and ash",Eastern Asia,Asia,12338513,38.9597594,34.9249653,37.977378106878206,73.97804075806764
2010,2010,Import,Turkey,26,"Ores, slag and ash",Eastern Europe,Europe,181179234,38.9597594,34.9249653,51.67568633314729,27.673469819741847
2010,2010,Import,Turkey,26,"Ores, slag and ash",Latin America and the Caribbean,Americas,453735891,38.9597594,34.9249653,17.925141963241547,-78.01492950057497
2010,2010,Import,Turkey,26,"Ores, slag and ash",Northern Africa,Africa,349728,38.9597594,34.9249653,19.569604022535763,12.47761721199581
2010,2010,Import,Turkey,26,"Ores, slag and ash",Northern America,Americas,36409610,38.9597594,34.9249653,43.897683433510366,-100.08947125585888
2010,2010,Import,Turkey,26,"Ores, slag and ash",Northern Europe,Europe,267298291,38.9597594,34.9249653,59.36075159783851,25.01346951967388
2010,2010,Import,Turkey,26,"Ores, slag and ash",South-eastern Asia,Asia,899135,38.9597594,34.9249653,10.528384761701911,103.08333472012376
2010,2010,Import,Turkey,26,"Ores, slag and ash",Southern Asia,Asia,2066586,38.9597594,34.9249653,25.499703063807168,75.5024015339642
2010,2010,Import,Turkey,26,"Ores, slag and ash",Southern Europe,Europe,8084667,38.9597594,34.9249653,40.12399607988535,20.742583178432696
2010,2010,Import,Turkey,26,"Ores, slag and ash",Sub-Saharan Africa,Africa,30650504,38.9597594,34.9249653,6.06272746187266,22.727528470146083
2010,2010,Import,Turkey,26,"Ores, slag and ash",Western Asia,Asia,62847,38.9597594,34.9249653,26.42921218083572,52.86847103284948
2010,2010,Import,Turkey,26,"Ores, slag and ash",Western Europe,Europe,1843981,38.9597594,34.9249653,47.92172048214207,7.866753258497997
2010,2010,Import,Turkey,26,"Ores, slag and ash",World,World,998512856,38.9597594,34.9249653,,
